	Opt.	CR	FP
X^0	2	2	2
X^1	3	3	3
X^2	0	0	0

X^0	1	3	1
X^1	1	3	1
X^2	2	6	2

X^0	1	1	1
X^1	1	1	1
X^2	0	3	0

X^0	4	10	5
X^1	2	11	6
X^2	2	10	3

X^0	1	1	1
X^1	5	5	5
X^2	0	0	0

X^0	2	2	2
X^1	2	2	2
X^2	7	9	7

X^0	0	0	0
X^1	0	0	0
X^2	0	0	0

X^0	2	2	2
X^1	2	2	2
X^2	2	2	2

X^0	1	7	6
X^1	2	11	10
X^2	0	7	4

X^0	1	1	1
X^1	1	1	1
X^2	1	5	2

X^0	2	2	2
X^1	2	2	2
X^2	1	1	1

X^0	1	4	3
X^1	4	8	7
X^2	0	2	1

X^0	3	3	3
X^1	3	3	3
X^2	0	0	0

X^0	0	0	0
X^1	0	0	0
X^2	0	0	0

X^0	3	3	3
X^1	3	3	3
X^2	0	0	0

X^0	2	2	2
X^1	1	1	1
X^2	2	2	2

X^0	1	6	1
X^1	5	6	5
X^2	5	5	5

X^0	3	3	3
X^1	3	3	3
X^2	3	3	3

X^0	1	12	11
X^1	1	12	9
X^2	0	8	4

X^0	0	0	0
X^1	0	0	0
X^2	0	0	0

X^0	5	6	5
X^1	3	3	3
X^2	2	2	2

X^0	4	13	7
X^1	2	9	3
X^2	3	6	3

X^0	2	2	2
X^1	3	3	3
X^2	1	1	1

X^0	1	1	1
X^1	2	2	2
X^2	0	0	0

X^0	1	1	1
X^1	1	1	1
X^2	0	0	0

X^0	1	1	1
X^1	1	1	1
X^2	0	0	0

X^0	5	5	5
X^1	3	3	3
X^2	6	6	6

X^0	4	4	4
X^1	3	3	3
X^2	0	0	0

X^0	2	2	2
X^1	12	12	12
X^2	2	2	2

X^0	3	3	3
X^1	3	3	3
X^2	0	0	0

X^0	1	1	1
X^1	0	1	0
X^2	0	1	0

X^0	2	11	7
X^1	2	17	15
X^2	2	13	11

X^0	3	7	6
X^1	1	9	8
X^2	5	9	8

X^0	0	5	0
X^1	0	1	0
X^2	0	0	0

X^0	2	2	2
X^1	3	4	3
X^2	2	2	2

X^0	2	65	62
X^1	0	67	67
X^2	0	64	64

X^0	3	5	3
X^1	2	3	2
X^2	0	4	0

X^0	0	0	0
X^1	3	3	3
X^2	0	1	0

X^0	4	12	8
X^1	0	11	8
X^2	3	16	13

X^0	1	3	2
X^1	1	2	1
X^2	0	1	0

X^0	2	2	2
X^1	2	2	2
X^2	2	2	2

X^0	1	1	1
X^1	2	2	2
X^2	1	1	1

X^0	1	8	6
X^1	0	8	4
X^2	0	7	4

X^0	2	3	2
X^1	1	2	1
X^2	1	2	1

X^0	2	4	2
X^1	0	2	0
X^2	0	0	0

X^0	1	3	1
X^1	2	5	3
X^2	0	1	0

X^0	2	3	2
X^1	1	1	1
X^2	1	1	1

X^0	2	2	2
X^1	1	1	1
X^2	2	2	2

X^0	0	8	7
X^1	0	8	7
X^2	0	3	1

X^0	2	6	5
X^1	0	0	0
X^2	1	4	3

X^0	1	1	1
X^1	1	1	1
