	Opt.	CR	FP
X^1	197	159	161
X^2	198	159	161
X^3	198	172	174
X^4	198	185	187
X^5	198	198	198

X^0	198	176	178
X^1	198	187	191
X^2	198	192	195
X^3	198	198	198
X^4	198	198	198
X^5	200	200	200

X^0	198	86	86
X^1	198	82	82
X^2	200	113	113
X^3	200	145	145
X^4	200	168	168
X^5	200	200	200

X^0	198	186	188
X^1	199	193	198
X^2	200	196	199
X^3	200	200	200
X^4	197	196	197
X^5	197	197	197

X^0	199	175	178
X^1	199	176	178
X^2	198	177	178
X^3	199	199	199
X^4	199	199	199
X^5	200	200	200

X^0	193	190	192
X^1	193	191	191
X^2	199	197	197
X^3	200	200	200
X^4	200	200	200
X^5	200	200	200

X^0	189	45	48
X^1	192	45	48
X^2	192	192	192
X^3	197	197	197
X^4	199	199	199
X^5	200	200	200

X^0	198	198	198
X^1	195	193	195
X^2	197	196	197
X^3	198	198	198
X^4	198	198	198
X^5	200	200	200

X^0	196	168	172
X^1	196	186	191
X^2	196	186	191
X^3	196	196	196
X^4	196	196	196
X^5	198	198	198

X^0	197	146	150
X^1	197	171	174
X^2	197	173	176
X^3	197	197	197
X^4	197	197	197
X^5	198	198	198

X^0	196	185	189
X^1	196	186	190
X^2	196	194	196
X^3	196	196	196
X^4	196	196	196
X^5	200	200	200

X^0	200	176	181
X^1	200	180	183
X^2	200	181	186
X^3	199	196	199
X^4	197	197	197
X^5	200	200	200

X^0	200	195	196
X^1	193	192	192
X^2	200	200	200
X^3	200	200	200
X^4	196	196	196
X^5	199	199	199

X^0	199	196	198
X^1	199	198	199
X^2	199	196	198
X^3	197	195	197
X^4	199	198	199
X^5	199	199	199

X^0	199	193	197
X^1	199	194	195
X^2	199	199	199
X^3	199	199	199
X^4	197	197	197
X^5	200	200	200

X^0	198	195	198
X^1	199	199	199
X^2	198	196	198
X^3	199	199	199
X^4	199	199	199
X^5	197	197	197

X^0	199	182	184
X^1	199	190	192
X^2	199	192	197
X^3	199	199	199
X^4	200	200	200
X^5	198	198	198

X^0	197	171	175
X^1	199	176	178
X^2	199	199	199
X^3	198	198	198
X^4	200	200	200
X^5	199	199	199

X^0	199	135	138
X^1	197	166	169
X^2	199	168	170
X^3	199	199	199
X^4	199	199	199
X^5	200	200	200

X^0	199	81	83
X^1	197	138	143
X^2	196	148	151
X^3	199	199	199
X^4	199	199	199
X^5	200	200	200

X^0	195	168	177
X^1	194	161	170
X^2	194	194	194
X^3	195	195	195
X^4	199	199	199
X^5	196	196	196

X^0	198	166	169
X^1	198	173	174
X^2	199	182	184
X^3	200	190	190
X^4	200	197	199
X^5	200	200	200

X^0	198	123	126
X^1	197	164	166
X^2	198	165	167
X^3	197	197	197
X^4	198	198	198
X^5	199	199	199

X^0	197	143	145
X^1	198	181	184
X^2	199	183	186
X^3	200	200	200
X^4	198	198	198
X^5	200	200	200

X^0	196	168	173
X^1	195	169	171
X^2	198	172	175
X^3	191	191	191
X^4	198	198	198
X^5	198	198	198

X^0	198	192	193
X^1	199	195	199
X^2	199	199	199
X^3	199	199	199
X^4	200	200	200
X^5	198	198	198

X^0	196	114	121
X^1	198	118	119
X^2	195	121	122
X^3	199	199	199
X^4	199	199	199
X^5	199	199	199

X^0	199	179	181
X^1	199	191	192
X^2	197	187	188
X^3	199	199	199
X^4	199	199	199
X^5	200	200	200

X^0	193	186	193
X^1	194	186	193
X^2	193	188	193
X^3	196	196	196
X^4	193	193	193
X^5	200	200	200

X^0	198	178	180
X^1	198	175	179
X^2	198	177	179
X^3	198	198	198
X^4	198	198	198
X^5	200	200	200

X^0	198	194	197
X^1	194	193	194
X^2	199	199	199
X^3	198	198	198
X^4	200	199	199
X^5	200	200	200

X^0	198	178	178
X^1	198	187	190
X^2	197	188	188
X^3	198	198	198
X^4	200	200	200
X^5	199	199	199

X^0	198	120	120
X^1	199	122	122
X^2	199	142	142
X^3	200	161	161
X^4	200	180	181
X^5	200	200	200

X^0	197	163	166
X^1	197	165	166
X^2	197	165	166
X^3	197	182	182
X^4	200	196	196
X^5	200	200	200

X^0	197	143	143
X^1	198	188	188
X^2	200	185	187
X^3	200	200	200
X^4	200	200	200
X^5	200	200	200

X^0	197	182	183
X^1	197	192	192
X^2	198	198	198
X^3	200	200	200
X^4	200	200	200
X^5	198	198	198

X^0	199	191	193
X^1	199	199	199
X^2	199	199	199
X^3	198	198	198
X^4	199	199	199
X^5	198	198	198

X^0	198	158	161
X^1	198	167	168
X^2	199	181	182
X^3	199	186	186
X^4	200	195	196
X^5	200	200	200

X^0	199	84	87
X^1	199	86	87
X^2	200	85	86
X^3	199	123	123
X^4	200	162	162
X^5	200	200	200

X^0	196	187	190
X^1	197	197	197
X^2	197	197	197
X^3	197	197	197
X^4	197	197	197
X^5	198	198	198

X^0	199	185	188
X^1	199	185	187
X^2	199	199	199
X^3	199	199	199
X^4	197	197	197
X^5	200	200	200

X^0	197	190	191
X^1	197	190	191
