	Opt.	CR	FP
X^0	1	349	176
X^1	1	350	173
X^2	1	181	179
X^3	1	176	173

X^0	8	11	8
X^1	3	4	3
X^2	1	2	1
X^3	1	1	1

X^0	1	1	1
X^1	0	1	0
X^2	0	0	0
X^3	0	0	0

X^0	3	3	3
X^1	3	3	3
X^2	3	3	3
X^3	0	0	0

X^0	3	13	6
X^1	2	13	6
X^2	3	10	4
X^3	1	6	1

X^0	1	7	1
X^1	1	9	5
X^2	1	1	1
X^3	0	6	1

X^0	0	1	0
X^1	0	1	0
X^2	0	1	0
X^3	0	3	2

X^0	2	3	2
X^1	0	0	0
X^2	2	3	2
X^3	0	0	0

X^0	6	12	7
X^1	3	9	7
X^2	1	6	5
X^3	1	8	6

X^0	2	8	4
X^1	1	9	4
X^2	1	8	5
X^3	3	10	7

X^0	3	9	5
X^1	1	1	1
X^2	1	1	1
X^3	0	0	0

X^0	7	11	8
X^1	0	4	0
X^2	0	3	0
X^3	0	2	0

X^0	2	18	7
X^1	4	18	10
X^2	5	15	9
X^3	1	9	2

X^0	2	5	2
X^1	2	5	2
X^2	2	3	2
X^3	2	2	2

X^0	2	8	5
X^1	2	8	2
X^2	2	8	6
X^3	1	3	1

X^0	2	6	3
X^1	1	6	3
X^2	1	3	1
X^3	2	7	4

X^0	1	12	1
X^1	2	11	2
X^2	1	1	1
X^3	1	1	1

X^0	1	733	727
X^1	3	744	500
X^2	3	722	500
X^3	1	744	500

X^0	4	12	9
X^1	4	11	6
X^2	1	10	7
X^3	1	5	1

X^0	2	13	8
X^1	2	9	4
X^2	2	2	2
X^3	1	9	1

X^0	1	22	12
X^1	1	17	9
X^2	0	11	2
X^3	0	8	0

X^0	1	10	6
X^1	1	8	6
X^2	1	2	1
X^3	4	12	8

X^0	3	18	16
X^1	2	18	16
X^2	2	14	12
X^3	8	13	8

X^0	1	1	1
X^1	1	1	1
X^2	10	10	10
X^3	2	2	2

X^0	3	13	10
X^1	2	11	9
X^2	2	9	6
X^3	2	10	8

X^0	4	8	4
X^1	2	9	2
X^2	1	6	1
X^3	1	9	3

X^0	6	26	16
X^1	1	22	12
X^2	1	18	11
X^3	1	11	6

X^0	1	1	1
X^1	1	1	1
X^2	1	1	1
X^3	0	0	0

X^0	1	11	6
X^1	1	12	8
X^2	1	11	7
X^3	0	7	3

X^0	2	26	24
X^1	2	33	29
X^2	0	41	37
X^3	0	18	15

X^0	1	13	7
X^1	1	8	2
X^2	0	0	0
X^3	4	11	4

X^0	2	20	8
X^1	9	30	18
X^2	2	17	9
X^3	0	11	9

X^0	0	9	5
X^1	1	9	4
X^2	0	6	1
X^3	0	4	0

X^0	1	1	1
X^1	1	1	1
X^2	4	4	4
X^3	1	1	1

X^0	4	14	10
X^1	3	10	6
X^2	3	3	3
X^3	0	9	4

X^0	0	0	0
