	Opt.	CR	FP
X^0	3	296	288
X^1	3	213	208
X^2	3	208	203
X^3	3	186	181
X^4	6	108	101
X^5	0	86	81
X^6	0	0	0
X^7	5	5	5
X^8	1	1	1
Diff.	5

X^0	1	104	104
X^1	2	97	95
X^2	2	66	64
X^3	2	58	57
X^4	1	26	26
X^5	1	24	24
X^6	0	0	0
X^7	0	0	0
X^8	0	0	0
Diff.	8

X^0	4	271	267
X^1	2	215	210
X^2	2	161	155
X^3	2	135	133
X^4	2	81	77
X^5	2	27	25
X^6	2	2	2
X^7	2	2	2
X^8	0	0	0
Diff.	4

X^0	3	218	214
X^1	3	189	187
X^2	2	181	179
X^3	3	185	183
X^4	2	146	145
X^5	3	109	108
X^6	2	74	72
X^7	1	42	41
X^8	1	1	1
Diff.	6

X^0	1	609	606
X^1	6	594	593
X^2	1	398	397
X^3	1	385	377
X^4	3	194	193
X^5	10	198	197
X^6	1	1	1
X^7	1	1	1
X^8	2	2	2
Diff.	0

X^0	2	46	40
X^1	2	26	21
X^2	2	15	10
X^3	4	17	12
X^4	2	5	2
X^5	5	5	5
X^6	5	5	5
X^7	3	3	3
X^8	0	0	0
Diff.	12

X^0	6	108	107
X^1	1	82	81
X^2	2	88	87
X^3	1	58	57
X^4	1	39	37
X^5	1	31	30
X^6	2	11	10
X^7	2	11	10
X^8	1	1	1
Diff.	19

X^0	1	8	2
X^1	2	8	5
X^2	1	2	1
X^3	2	2	2
X^4	3	3	3
X^5	2	4	2
X^6	3	3	3
X^7	3	3	3
X^8	0	0	0
Diff.	5

X^0	4	165	164
X^1	7	151	148
X^2	5	122	121
X^3	8	96	94
X^4	5	66	65
X^5	5	40	39
X^6	5	13	12
X^7	5	13	12
X^8	1	1	1
Diff.	44

X^0	1	367	366
X^1	1	362	361
X^2	2	367	366
X^3	1	302	296
X^4	1	240	240
X^5	1	179	178
X^6	3	120	119
X^7	3	56	52
X^8	0	0	0
Diff.	0

X^0	2	411	409
X^1	5	419	415
X^2	2	275	273
X^3	2	261	259
X^4	2	125	123
X^5	2	114	109
X^6	2	2	2
X^7	2	2	2
X^8	0	0	0
Diff.	15

X^0	2	131	124
X^1	2	116	114
X^2	2	86	79
X^3	2	75	73
X^4	2	46	39
X^5	2	36	34
X^6	8	17	10
X^7	2	2	2
X^8	7	7	7
Diff.	12

X^0	5	68	63
X^1	5	51	49
X^2	3	49	45
X^3	2	41	39
X^4	6	29	27
X^5	5	21	19
X^6	2	2	2
X^7	2	2	2
X^8	3	3	3
Diff.	4

X^0	4	86	82
X^1	3	72	70
X^2	1	42	40
X^3	3	30	28
X^4	2	8	6
X^5	2	8	6
X^6	1	1	1
X^7	1	1	1
X^8	0	0	0
Diff.	29

X^0	11	17	11
X^1	7	12	7
X^2	4	10	5
X^3	7	9	7
X^4	7	7	7
X^5	5	5	5
X^6	5	5	5
X^7	3	3	3
X^8	1	1	1
Diff.	32

X^0	1	93	91
X^1	2	72	71
X^2	2	58	57
X^3	2	55	54
X^4	1	62	61
X^5	2	51	49
X^6	1	29	28
X^7	1	23	18
X^8	1	1	1
Diff.	3

X^0	2	247	243
X^1	2	231	227
X^2	2	201	197
X^3	4	208	204
X^4	1	157	156
X^5	1	120	116
X^6	1	71	70
X^7	2	51	48
X^8	1	1	1
Diff.	1

X^0	7	40	37
X^1	7	41	38
X^2	4	34	32
X^3	7	25	21
X^4	3	17	16
X^5	1	11	7
X^6	1	2	1
X^7	0	2	1
X^8	1	1	1
Diff.	23

X^0	3	35	28
X^1	2	24	22
X^2	2	19	18
X^3	3	14	13
X^4	2	6	5
X^5	2	6	5
X^6	1	5	2
X^7	4	7	5
X^8	0	0	0
Diff.	7

X^0	4	378	375
X^1	3	365	362
X^2	2	237	234
X^3	2	230	227
X^4	3	117	114
X^5	2	113	111
X^6	3	3	3
X^7	2	2	2
X^8	1	1	1
Diff.	7

X^0	3	23	17
X^1	3	16	13
X^2	3	11	6
X^3	3	11	7
X^4	3	3	3
X^5	3	9	5
X^6	3	9	6
X^7	3	3	3
X^8	0	0	0
Diff.	18

X^0	6	78	75
X^1	6	71	68
X^2	6	67	63
X^3	3	70	67
X^4	3	27	15
X^5	3	27	21
X^6	3	3	3
X^7	3	3	3
X^8	3	3	3
Diff.	22

X^0	2	27	24
X^1	2	20	18
X^2	2	17	15
X^3	1	11	11
X^4	2	7	7
X^5	0	7	7
X^6	2	2	2
X^7	0	0	0
X^8	2	2	2
Diff.	7

X^0	3	197	196
X^1	2	169	167
X^2	2	153	151
X^3	2	148	146
X^4	2	114	114
X^5	2	80	80
X^6	1	51	51
X^7	2	29	28
X^8	0	0	0
Diff.	22

X^0	2	66	63
X^1	2	46	40
X^2	2	39	36
X^3	3	20	13
X^4	5	18	16
X^5	2	2	2
X^6	2	2	2
X^7	2	2	2
X^8	0	0	0
Diff.	9

X^0	2	46	44
X^1	2	35	33
X^2	2	25	23
X^3	2	17	14
X^4	2	13	12
X^5	3	11	11
X^6	2	5	3
X^7	2	3	3
X^8	0	0	0
Diff.	8

X^0	2	296	292
X^1	2	293	291
X^2	2	201	198
X^3	3	189	189
X^4	8	105	103
X^5	0	87	83
X^6	0	0	0
X^7	0	0	0
X^8	0	0	0
Diff.	7

X^0	4	475	471
X^1	4	443	437
X^2	4	297	293
X^3	4	265	258
X^4	4	116	108
X^5	4	116	112
X^6	4	4	4
X^7	4	4	4
X^8	0	0	0
Diff.	63

X^0	3	115	111
X^1	3	87	84
X^2	2	88	85
X^3	2	76	74
X^4	2	44	41
X^5	2	34	32
X^6	2	2	2
X^7	2	2	2
X^8	0	0	0
Diff.	7

X^0	5	172	169
X^1	3	125	120
X^2	3	108	105
X^3	3	62	59
X^4	3	56	51
X^5	3	45	41
X^6	3	3	3
X^7	3	3	3
X^8	0	0	0
Diff.	31

X^0	3	66	64
X^1	4	57	56
X^2	3	37	36
X^3	3	31	30
X^4	3	17	15
X^5	1	15	13
X^6	1	1	1
X^7	1	1	1
X^8	0	0	0
Diff.	5

X^0	6	264	264
X^1	4	268	268
X^2	2	175	172
X^3	4	175	173
X^4	2	86	86
X^5	6	98	98
X^6	1	1	1
X^7	0	0	0
X^8	0	0	0
Diff.	11

X^0	4	79	70
X^1	4	42	32
X^2	4	37	29
X^3	5	25	23
X^4	4	6	4
X^5	4	12	10
X^6	5	8	5
X^7	2	2	2
X^8	2	2	2
Diff.	8

X^0	3	673	672
X^1	1	544	543
X^2	1	422	421
X^3	1	327	325
X^4	1	204	201
X^5	1	97	96
X^6	1	1	1
X^7	0	0	0
X^8	1	1	1
Diff.	3

X^0	2	59	57
X^1	2	45	43
X^2	2	37	35
X^3	2	38	34
X^4	2	19	17
X^5	3	20	18
X^6	2	3	2
X^7	2	2	2
X^8	0	0	0
Diff.	5

X^0	1	177	174
X^1	1	133	125
X^2	1	98	95
X^3	1	109	105
X^4	1	68	66
X^5	2	45	43
X^6	1	1	1
X^7	1	1	1
X^8	0	0	0
Diff.	2

X^0	4	51	48
X^1	4	39	36
X^2	6	30	26
X^3	4	25	22
X^4	4	11	6
X^5	3	3	3
X^6	3	3	3
X^7	0	0	0
X^8	0	0	0
Diff.	12

X^0	1	323	322
X^1	1	313	313
X^2	2	192	190
X^3	1	182	181
X^4	1	65	63
X^5	2	68	68
X^6	1	1	1
X^7	0	0	0
X^8	1	1	1
Diff.	1

X^0	4	15	10
X^1	4	11	4
X^2	4	8	4
X^3	6	9	6
X^4	7	8	7
X^5	4	4	4
X^6	5	5	5
X^7	2	2	2
X^8	0	0	0
Diff.	16

X^0	4	16	13
X^1	2	11	9
X^2	1	6	4
X^3	1	3	1
X^4	1	2	1
X^5	1	3	1
X^6	2	2	2
X^7	1	1	1
X^8	3	3	3
Diff.	1

X^0	2	32	31
X^1	2	28	27
X^2	2	17	15
X^3	2	17	17
X^4	2	9	9
X^5	5	13	11
X^6	0	0	0
X^7	0	0	0
X^8	0	0	0
Diff.	5

X^0	3	319	318
X^1	3	318	317
X^2	2	211	210
X^3	5	213	213
X^4	0	104	104
X^5	0	104	103
X^6	0	0	0
X^7	0	0	0
X^8	0	0	0
Diff.	6

X^0	2	23	15
X^1	7	23	17
X^2	1	12	4
X^3	5	5	5
X^4	2	2	2
X^5	4	4	4
X^6	7	7	7
X^7	0	0	0
X^8	0	0	0
Diff.	9

X^0	1	59	56
X^1	3	52	49
X^2	2	40	36
X^3	3	34	30
X^4	2	17	14
X^5	1	13	10
X^6	3	3	3
X^7	3	3	3
X^8	2	2	2
Diff.	14

X^0	3	344	342
X^1	3	338	336
X^2	3	207	205
X^3	1	196	193
X^4	1	70	67
X^5	2	70	68
X^6	1	1	1
X^7	2	2	2
X^8	0	0	0
Diff.	9

X^0	4	367	362
X^1	4	250	247
X^2	3	195	192
X^3	3	208	205
X^4	3	83	80
X^5	3	92	88
X^6	3	3	3
X^7	3	3	3
X^8	0	0	0
Diff.	11

X^0	2	544	540
X^1	2	473	469
X^2	2	321	318
X^3	2	275	271
X^4	2	123	118
X^5	2	134	127
X^6	1	1	1
X^7	3	3	3
X^8	2	2	2
Diff.	7

X^0	3	350	347
X^1	3	276	274
X^2	3	231	229
X^3	3	208	207
X^4	3	98	93
X^5	0	75	75
X^6	1	1	1
X^7	0	0	0
X^8	0	0	0
Diff.	12

X^0	2	300	298
X^1	2	214	207
X^2	3	180	179
X^3	2	170	167
X^4	2	85	80
X^5	2	76	75
X^6	1	1	1
X^7	1	1	1
X^8	1	1	1
Diff.	3

X^0	7	16	12
X^1	1	7	6
X^2	2	5	3
X^3	1	2	1
X^4	3	3	3
X^5	1	1	1
X^6	1	1	1
X^7	2	2	2
X^8	2	2	2
Diff.	2

X^0	2	35	31
X^1	2	27	25
X^2	2	21	16
X^3	2	15	13
X^4	2	9	7
X^5	2	4	2
X^6	2	2	2
X^7	2	2	2
X^8	0	0	0
Diff.	9

X^0	4	49	43
X^1	2	41	35
X^2	2	30	24
X^3	2	25	19
X^4	2	13	9
X^5	4	12	7
X^6	1	5	2
X^7	4	4	4
X^8	0	0	0
Diff.	9

X^0	4	333	327
X^1	3	323	317
X^2	2	214	208
X^3	3	207	201
X^4	2	100	94
X^5	2	96	89
X^6	2	2	2
X^7	6	6	6
X^8	3	3	3
Diff.	2

X^0	4	1255	1000
X^1	4	869	864
X^2	5	815	811
X^3	4	818	813
X^4	4	386	377
X^5	4	387	383
X^6	4	10	6
X^7	4	4	4
X^8	0	0	0
Diff.	13

X^0	3	119	116
X^1	3	84	80
X^2	3	78	75
X^3	5	46	42
X^4	3	37	29
X^5	3	32	29
X^6	3	3	3
X^7	3	3	3
X^8	0	0	0
Diff.	5

X^0	2	63	61
X^1	2	64	62
X^2	6	36	30
X^3	3	38	35
X^4	2	16	12
X^5	2	15	12
X^6	2	4	2
X^7	2	2	2
X^8	2	2	2
Diff.	7

X^0	3	161	156
X^1	3	111	110
X^2	3	94	89
X^3	3	90	89
X^4	3	40	34
X^5	3	36	36
X^6	0	4	0
X^7	0	0	0
X^8	3	3	3
Diff.	13

X^0	2	18	16
X^1	3	12	11
X^2	4	12	11
X^3	0	11	9
X^4	0	6	3
X^5	0	0	0
X^6	0	0	0
X^7	1	1	1
X^8	0	0	0
Diff.	7

X^0	3	54	51
X^1	3	58	55
X^2	3	33	30
X^3	5	32	31
X^4	3	6	3
X^5	1	4	2
X^6	3	3	3
X^7	1	1	1
X^8	0	0	0
Diff.	11

X^0	5	36	33
X^1	2	26	24
X^2	2	20	19
X^3	8	20	19
X^4	2	9	8
X^5	1	5	4
X^6	2	4	2
X^7	2	4	3
X^8	1	1	1
Diff.	2

X^0	5	29	27
X^1	2	23	23
X^2	1	7	3
X^3	3	7	4
X^4	3	5	4
X^5	1	2	2
X^6	1	1	1
X^7	0	0	0
X^8	0	0	0
Diff.	2

X^0	2	29	28
X^1	3	24	23
X^2	1	21	20
X^3	1	15	14
X^4	1	10	9
X^5	1	7	6
X^6	0	7	6
X^7	1	6	5
X^8	1	1	1
Diff.	12

X^0	1	131	129
X^1	1	77	73
X^2	2	65	63
X^3	1	52	50
X^4	1	1	1
X^5	1	1	1
X^6	3	3	3
X^7	1	1	1
X^8	1	1	1
Diff.	2

X^0	3	815	810
X^1	3	633	623
X^2	5	633	628
X^3	3	488	482
X^4	3	309	304
X^5	3	173	166
X^6	3	3	3
X^7	5	5	5
X^8	0	0	0
Diff.	15

X^0	2	71	70
X^1	1	53	52
X^2	2	38	32
X^3	1	29	21
X^4	1	24	20
X^5	1	18	14
X^6	1	9	5
X^7	1	4	1
X^8	1	1	1
Diff.	7

X^0	1	44	42
X^1	1	29	28
X^2	1	24	22
X^3	2	26	23
X^4	1	10	8
X^5	6	10	8
X^6	1	1	1
X^7	0	0	0
X^8	2	2	2
Diff.	3

X^0	2	7	6
X^1	1	4	2
X^2	2	3	3
X^3	1	1	1
X^4	1	1	1
X^5	4	4	4
X^6	8	8	8
X^7	1	1	1
X^8	0	0	0
Diff.	4

X^0	3	26	23
X^1	3	21	18
X^2	3	12	9
X^3	3	12	5
X^4	3	3	3
X^5	3	3	3
X^6	0	0	0
X^7	5	5	5
X^8	0	0	0
Diff.	13

X^0	4	108	106
X^1	2	104	102
X^2	6	67	64
X^3	2	57	54
X^4	2	15	12
X^5	3	21	19
X^6	3	3	3
X^7	1	1	1
X^8	4	4	4
Diff.	3

X^0	1	193	189
X^1	1	171	164
X^2	1	169	168
X^3	1	169	168
X^4	1	135	130
X^5	1	101	100
X^6	1	69	68
X^7	3	37	36
X^8	1	1	1
Diff.	8

X^0	2	97	96
X^1	3	98	97
X^2	0	52	49
X^3	1	52	48
X^4	3	11	10
X^5	3	11	11
X^6	0	0	0
X^7	0	0	0
X^8	0	0	0
Diff.	25

X^0	2	14	13
X^1	2	9	9
X^2	2	9	6
X^3	2	9	9
X^4	2	5	3
X^5	2	4	4
X^6	1	1	1
X^7	0	0	0
X^8	1	1	1
Diff.	6

X^0	4	44	41
X^1	4	34	32
X^2	6	39	37
X^3	4	26	26
X^4	3	17	12
X^5	4	11	11
X^6	2	2	2
X^7	0	0	0
X^8	2	2	2
Diff.	21

X^0	4	243	242
X^1	4	237	236
X^2	4	148	147
X^3	4	148	147
X^4	4	68	67
X^5	4	64	62
X^6	1	1	1
X^7	1	1	1
X^8	0	0	0
Diff.	13

X^0	3	175	172
X^1	3	174	171
X^2	3	113	110
X^3	3	113	110
X^4	6	62	59
X^5	4	60	57
X^6	3	3	3
X^7	3	3	3
X^8	2	2	2
Diff.	16

X^0	3	25	23
X^1	3	18	17
X^2	2	17	14
X^3	2	13	12
X^4	2	8	6
X^5	1	6	6
X^6	2	2	2
X^7	0	0	0
X^8	2	2	2
Diff.	8

X^0	6	622	614
X^1	6	421	414
X^2	6	413	407
X^3	9	213	207
X^4	5	205	203
X^5	1	1	1
X^6	0	0	0
X^7	0	0	0
X^8	1	1	1
Diff.	16

X^0	2	34	31
X^1	4	42	36
X^2	2	22	18
X^3	2	22	17
X^4	2	9	6
X^5	2	8	6
X^6	4	4	4
X^7	2	2	2
X^8	0	0	0
Diff.	6

X^0	4	18	15
X^1	4	15	12
X^2	4	10	7
X^3	6	10	6
X^4	3	3	3
X^5	4	4	4
X^6	6	6	6
X^7	2	2	2
X^8	2	2	2
Diff.	11

X^0	6	67	61
X^1	6	46	40
X^2	6	42	34
X^3	6	33	27
X^4	6	19	13
X^5	6	6	6
X^6	6	6	6
X^7	6	6	6
X^8	0	0	0
Diff.	37

X^0	6	127	126
X^1	6	123	120
X^2	6	70	69
X^3	6	64	63
X^4	6	8	6
X^5	1	30	27
X^6	1	1	1
X^7	1	1	1
X^8	0	0	0
Diff.	19

X^0	3	62	59
X^1	3	56	53
X^2	4	37	34
X^3	2	32	29
X^4	3	13	10
X^5	1	11	10
X^6	3	3	3
X^7	1	1	1
X^8	0	0	0
Diff.	12

X^0	2	25	23
X^1	2	19	17
X^2	2	14	12
X^3	6	13	12
X^4	3	9	7
X^5	2	6	2
X^6	1	1	1
X^7	0	0	0
X^8	4	4	4
Diff.	9

X^0	2	1061	972
X^1	2	1089	1000
X^2	3	926	923
X^3	3	765	762
X^4	3	606	603
X^5	3	444	441
X^6	3	283	274
X^7	3	163	157
X^8	3	3	3
Diff.	14

X^0	3	309	307
X^1	3	234	224
X^2	3	169	166
X^3	3	118	116
X^4	3	44	42
X^5	5	76	74
X^6	3	3	3
X^7	3	71	69
X^8	2	2	2
Diff.	17

X^0	4	1184	1000
X^1	1	1180	983
X^2	4	800	796
X^3	4	771	767
X^4	4	393	389
X^5	4	378	371
X^6	4	4	4
X^7	4	4	4
X^8	1	1	1
Diff.	12

X^0	1	378	377
X^1	1	371	369
X^2	0	213	211
X^3	0	206	205
X^4	3	54	52
X^5	2	54	54
X^6	1	1	1
X^7	0	0	0
X^8	0	0	0
Diff.	0

X^0	1	28	27
X^1	1	21	20
X^2	0	14	13
X^3	0	8	7
X^4	0	3	0
X^5	1	1	1
X^6	1	1	1
X^7	0	0	0
X^8	1	1	1
Diff.	0

X^0	6	191	188
X^1	3	149	149
X^2	3	111	107
X^3	1	106	104
X^4	5	78	76
X^5	3	76	74
X^6	1	42	42
X^7	1	36	35
X^8	0	0	0
Diff.	7

X^0	2	163	161
X^1	3	114	112
X^2	2	117	113
X^3	2	108	105
X^4	2	59	57
X^5	2	50	49
X^6	3	3	3
X^7	1	1	1
X^8	0	0	0
Diff.	18

X^0	0	360	355
X^1	0	363	358
X^2	1	306	306
X^3	0	247	247
X^4	1	193	193
X^5	1	147	147
X^6	0	93	90
X^7	1	59	59
X^8	0	0	0
Diff.	2

X^0	2	35	32
X^1	1	29	27
X^2	1	25	24
X^3	5	34	33
X^4	3	27	27
X^5	1	14	13
X^6	2	12	12
X^7	2	12	11
X^8	0	0	0
Diff.	1

X^0	2	515	512
X^1	2	425	414
X^2	2	331	328
X^3	2	239	237
X^4	2	153	153
X^5	0	61	60
X^6	0	0	0
X^7	0	0	0
X^8	0	0	0
Diff.	10

X^0	5	224	219
X^1	6	163	159
X^2	3	159	155
X^3	3	86	83
X^4	3	73	70
X^5	3	73	70
X^6	3	3	3
X^7	3	3	3
X^8	0	0	0
Diff.	7

X^0	3	37	34
X^1	3	26	24
X^2	3	26	24
X^3	1	18	16
X^4	3	15	11
X^5	0	4	4
X^6	2	2	2
X^7	0	0	0
X^8	0	0	0
Diff.	0

X^0	3	335	332
X^1	3	317	314
X^2	4	225	222
X^3	3	205	201
X^4	3	115	112
X^5	4	97	94
X^6	3	3	3
X^7	3	3	3
X^8	0	0	0
Diff.	8

X^0	4	586	580
X^1	4	440	436
X^2	3	365	362
