	Opt.	CR	FP
X^0	2	27	13
X^1	2	27	13
X^2	2	27	10
X^3	1	24	12
X^4	0	24	10
X^5	1	25	13
X^6	2	23	10
X^7	0	18	0

X^0	2	39	21
X^1	2	42	22
X^2	1	35	18
X^3	1	28	11
X^4	1	23	7
X^5	1	23	5
X^6	1	21	6
X^7	1	4	1

X^0	3	358	227
X^1	3	357	227
X^2	3	359	228
X^3	3	360	229
X^4	3	341	227
X^5	1	341	125
X^6	1	223	112
X^7	1	341	125

X^0	1	214	109
X^1	1	214	109
X^2	1	216	108
X^3	1	215	106
X^4	1	210	103
X^5	1	212	106
X^6	1	108	105
X^7	0	116	106

X^0	5	38	16
X^1	5	41	17
X^2	5	43	18
X^3	5	35	11
X^4	5	29	11
X^5	1	26	8
X^6	1	18	1
X^7	1	27	4

X^0	2	230	104
X^1	3	231	105
X^2	2	226	101
X^3	2	200	97
X^4	3	177	96
X^5	2	144	64
X^6	2	76	41
X^7	0	119	43

X^0	5	81	37
X^1	5	83	37
X^2	5	79	38
X^3	5	76	36
X^4	7	73	40
X^5	5	62	28
X^6	1	33	26
X^7	1	47	33

X^0	1	245	122
X^1	0	243	118
X^2	2	243	119
X^3	1	239	116
X^4	1	230	115
X^5	0	223	109
X^6	0	114	100
X^7	0	123	109

X^0	4	28	13
X^1	3	27	12
X^2	2	24	8
X^3	2	21	11
X^4	2	15	5
X^5	2	11	2
X^6	3	9	7
X^7	2	12	6

X^0	2	30	12
X^1	1	25	10
X^2	1	23	6
X^3	1	23	7
X^4	0	20	0
X^5	0	17	0
X^6	2	4	2
X^7	0	20	2

X^0	8	36	22
X^1	4	33	15
X^2	4	36	19
X^3	3	33	16
X^4	3	35	20
X^5	3	32	16
X^6	3	22	17
X^7	3	15	5

X^0	5	58	21
X^1	2	55	17
X^2	3	53	17
X^3	1	37	15
X^4	2	37	17
X^5	2	37	16
X^6	1	23	2
X^7	0	36	16

X^0	3	212	103
X^1	3	217	104
X^2	3	218	107
X^3	3	224	110
X^4	3	217	110
X^5	3	172	65
X^6	4	116	110
X^7	1	162	101

X^0	1	13	4
X^1	1	13	5
X^2	1	12	3
X^3	5	16	7
X^4	1	10	4
X^5	0	10	3
X^6	3	9	5
X^7	0	9	4

X^0	4	37	10
X^1	5	41	20
X^2	4	38	14
X^3	6	37	20
X^4	4	28	14
X^5	3	25	15
X^6	1	14	4
X^7	1	8	1

X^0	3	12	5
X^1	2	7	2
X^2	2	2	2
X^3	2	10	8
X^4	1	13	11
X^5	0	4	2
X^6	7	16	14
X^7	0	9	3

X^0	3	15	7
X^1	3	13	7
X^2	3	15	8
X^3	3	13	4
X^4	2	14	10
X^5	2	13	9
X^6	3	11	8
X^7	0	12	5

X^0	4	79	43
X^1	2	72	36
X^2	3	71	34
X^3	4	68	29
X^4	4	40	32
X^5	1	62	28
X^6	1	34	23
X^7	0	36	28

X^0	1	106	74
X^1	2	112	79
X^2	1	108	80
X^3	4	102	79
X^4	0	104	86
X^5	0	83	80
X^6	0	81	80
X^7	0	83	61

X^0	6	80	42
X^1	5	78	49
X^2	5	79	51
X^3	5	76	47
X^4	5	70	46
X^5	5	69	47
X^6	5	53	43
X^7	0	69	43

X^0	2	363	162
X^1	2	362	161
X^2	1	361	160
X^3	1	308	160
X^4	1	213	112
X^5	1	248	104
X^6	1	148	47
X^7	0	210	107

X^0	4	77	50
X^1	4	80	51
X^2	4	80	52
X^3	4	78	53
X^4	4	78	50
X^5	4	75	38
X^6	4	52	44
X^7	1	59	36

X^0	4	30	16
X^1	4	25	12
X^2	4	24	11
