	Opt.	CR	FP
X^0	1	852	428
X^1	1	852	428
X^2	1	851	427
X^3	1	845	419
X^4	6	427	420
X^5	0	429	426

X^0	2	8	3
X^1	2	5	3
X^2	2	3	2
X^3	1	5	3
X^4	1	11	9
X^5	2	12	10

X^0	3	176	91
X^1	3	178	91
X^2	4	181	87
X^3	3	180	91
X^4	4	99	89
X^5	4	99	75

X^0	5	20	11
X^1	1	15	6
X^2	0	11	2
X^3	0	12	0
X^4	0	11	2
X^5	0	8	0

X^0	1	165	91
X^1	0	162	91
X^2	0	152	88
X^3	0	113	69
X^4	0	50	25
X^5	0	9	0

X^0	4	67	38
X^1	2	64	38
X^2	3	61	41
X^3	2	50	33
X^4	2	34	28
X^5	0	42	18

X^0	2	6	3
X^1	1	3	1
X^2	1	1	1
X^3	1	3	1
X^4	1	1	1
X^5	0	5	0

X^0	1	108	102
X^1	1	110	108
X^2	1	108	107
X^3	2	105	102
X^4	0	106	102
X^5	0	0	0

X^0	4	21	17
X^1	2	17	15
X^2	2	18	13
X^3	2	15	12
X^4	2	6	3
X^5	0	15	13

X^0	2	7	3
X^1	1	7	4
X^2	1	7	4
X^3	3	6	3
X^4	2	5	2
X^5	2	4	2

X^0	1	5	3
X^1	1	2	1
X^2	1	2	1
X^3	1	2	1
X^4	1	1	1
X^5	0	2	0

X^0	3	12	9
X^1	1	8	5
X^2	0	8	1
X^3	1	7	2
X^4	1	8	3
X^5	0	0	0

X^0	1	5	3
X^1	1	3	1
X^2	0	2	1
X^3	0	0	0
X^4	1	1	1
X^5	2	3	2

X^0	4	31	11
X^1	4	24	6
X^2	1	19	6
X^3	0	16	2
X^4	0	17	8
X^5	0	18	7

X^0	2	18	6
X^1	2	12	5
X^2	2	6	4
X^3	1	12	9
X^4	1	1	1
X^5	0	9	5

X^0	2	22	9
X^1	0	22	9
X^2	2	21	13
X^3	3	22	9
X^4	1	16	8
X^5	0	14	6

X^0	1	73	37
X^1	1	74	38
X^2	1	71	34
X^3	1	40	31
X^4	1	1	1
X^5	0	39	34

X^0	3	10	3
X^1	2	9	4
X^2	5	12	7
X^3	3	7	3
X^4	3	3	3
X^5	0	7	1

X^0	1	53	29
X^1	1	49	28
X^2	3	51	27
X^3	0	42	17
X^4	3	24	19
X^5	3	31	24

X^0	5	32	22
X^1	4	27	14
X^2	2	22	12
X^3	0	14	12
X^4	1	16	14
X^5	0	11	10

X^0	4	42	24
X^1	5	44	27
X^2	1	26	18
X^3	1	1	1
X^4	1	1	1
X^5	0	26	17

X^0	3	462	229
X^1	3	460	225
X^2	3	458	228
X^3	3	457	230
X^4	3	294	291
X^5	0	235	224

X^0	2	22	15
X^1	3	23	19
X^2	2	19	12
X^3	2	14	4
X^4	5	8	5
X^5	0	19	6

X^0	2	13	2
X^1	3	11	3
X^2	3	10	3
X^3	1	6	1
X^4	1	12	4
X^5	3	12	4

X^0	4	13	4
X^1	4	12	4
X^2	4	10	6
X^3	2	7	3
X^4	1	5	1
X^5	0	3	0

X^0	2	22	16
X^1	2	23	12
X^2	2	25	14
X^3	2	22	13
X^4	2	17	10
X^5	2	2	2

X^0	2	149	78
X^1	2	145	74
X^2	2	145	74
X^3	2	145	74
X^4	3	76	73
X^5	1	80	77

X^0	3	14	9
X^1	3	24	11
X^2	1	26	8
X^3	3	30	21
X^4	0	17	10
X^5	0	14	10

X^0	2	4	2
X^1	2	5	4
X^2	5	8	7
X^3	1	3	1
X^4	1	2	1
X^5	2	4	3

X^0	6	14	6
X^1	7	14	7
X^2	1	8	3
X^3	1	5	1
X^4	1	3	1
X^5	1	5	1

X^0	3	75	38
X^1	2	74	37
X^2	2	68	31
X^3	1	63	38
X^4	4	49	42
X^5	2	43	21

X^0	2	55	23
X^1	1	58	27
X^2	1	53	24
X^3	5	61	34
X^4	1	29	27
X^5	0	12	6

X^0	1	238	119
X^1	2	239	119
X^2	2	237	118
X^3	1	239	122
X^4	0	123	122
X^5	0	127	118

X^0	0	28	13
X^1	0	30	15
X^2	0	30	16
X^3	0	20	14
X^4	0	16	14
X^5	0	10	3

X^0	4	7	4
X^1	4	5	4
X^2	4	6	4
X^3	2	3	2
X^4	2	2	2
X^5	0	2	0

X^0	5	139	73
X^1	2	136	67
X^2	2	126	72
X^3	1	135	69
X^4	1	71	69
X^5	1	72	64

X^0	2	32	25
X^1	2	23	17
X^2	2	28	19
X^3	2	4	2
X^4	0	4	0
X^5	0	19	9

X^0	4	21	13
X^1	4	21	12
X^2	3	20	9
X^3	1	17	8
X^4	1	11	9
X^5	4	12	9

X^0	1	9	2
X^1	1	11	5
X^2	0	10	3
X^3	1	10	3
X^4	1	10	6
X^5	0	6	2

X^0	2	2	2
X^1	2	2	2
X^2	2	2	2
X^3	4	4	4
X^4	4	4	4
X^5	0	0	0

X^0	3	8	4
X^1	3	8	4
X^2	6	11	6
X^3	3	9	5
X^4	0	5	1
X^5	1	8	4

X^0	5	51	25
X^1	1	45	19
X^2	0	39	22
X^3	3	34	23
X^4	2	25	11
X^5	0	19	6

X^0	2	15	8
X^1	0	15	8
X^2	0	15	7
X^3	0	13	7
X^4	0	9	4
X^5	0	10	3

X^0	1	133	123
X^1	1	133	127
X^2	0	130	123
X^3	1	127	125
X^4	0	122	120
X^5	0	126	124

X^0	2	20	10
X^1	2	16	10
X^2	2	15	7
X^3	2	11	6
X^4	1	12	9
X^5	0	9	6

X^0	1	4	1
X^1	1	2	1
X^2	1	2	1
X^3	1	2	1
X^4	1	1	1
X^5	1	1	1

X^0	3	260	128
X^1	2	264	131
X^2	3	263	131
X^3	3	266	131
X^4	1	142	136
X^5	1	135	128

X^0	3	9	5
X^1	3	7	3
X^2	3	3	3
X^3	3	3	3
X^4	3	3	3
X^5	1	6	1

X^0	2	8	3
X^1	3	13	5
X^2	2	10	4
X^3	4	11	6
X^4	1	7	3
X^5	0	6	2

X^0	4	542	537
X^1	2	546	537
X^2	6	545	540
X^3	1	547	536
X^4	1	537	534
X^5	2	548	530

X^0	2	31	14
X^1	1	31	14
X^2	2	28	13
X^3	1	21	9
X^4	1	21	9
X^5	0	15	1

X^0	1	23	10
X^1	4	25	12
X^2	2	24	10
X^3	1	20	8
X^4	2	20	13
X^5	0	13	1

X^0	1	5	4
X^1	1	5	1
X^2	1	7	6
X^3	1	6	5
X^4	0	4	3
X^5	0	1	0

X^0	3	22	15
X^1	0	19	12
X^2	2	20	15
X^3	1	25	12
X^4	0	25	21
X^5	0	12	7

X^0	6	25	15
X^1	1	12	7
X^2	1	10	1
X^3	0	12	7
X^4	0	4	0
X^5	0	12	7

X^0	3	234	140
X^1	3	234	142
X^2	3	221	129
X^3	3	217	125
X^4	2	133	126
X^5	0	138	130

X^0	4	39	25
X^1	3	40	28
X^2	1	37	26
X^3	3	30	23
X^4	1	26	20
X^5	1	38	20

X^0	0	17	11
X^1	2	18	15
X^2	4	14	11
X^3	1	13	10
X^4	0	17	9
X^5	0	7	4

X^0	2	3	2
X^1	3	4	3
X^2	4	5	5
X^3	2	3	3
X^4	0	1	0
X^5	0	0	0

X^0	1	475	236
X^1	1	479	239
X^2	1	477	239
X^3	1	470	236
X^4	1	239	233
X^5	6	246	239

X^0	3	34	29
X^1	3	22	19
X^2	3	14	11
X^3	3	3	3
X^4	3	3	3
X^5	0	12	11

X^0	4	60	29
X^1	4	62	32
X^2	4	62	32
X^3	4	64	26
X^4	4	44	36
X^5	2	38	32

X^0	2	19	6
X^1	1	20	7
X^2	3	19	4
X^3	2	17	6
X^4	3	14	5
X^5	1	15	5

X^0	5	6	5
X^1	5	8	5
X^2	5	8	5
X^3	5	5	5
X^4	5	5	5
X^5	3	5	3

X^0	1	13	6
X^1	2	15	8
X^2	3	16	9
X^3	0	13	6
X^4	1	8	7
X^5	0	7	3

X^0	2	17	8
X^1	2	17	8
X^2	2	17	8
X^3	5	20	13
X^4	6	18	14
X^5	0	11	1

X^0	5	76	39
X^1	5	82	40
X^2	5	82	45
X^3	5	71	43
X^4	5	50	43
X^5	3	43	21

X^0	2	21	18
X^1	2	22	19
X^2	2	24	20
X^3	2	23	20
X^4	1	11	8
X^5	0	24	17

X^0	2	20	11
X^1	2	21	11
X^2	2	21	11
X^3	4	24	11
X^4	2	11	8
X^5	2	16	11

X^0	2	34	22
X^1	4	34	27
X^2	2	32	30
X^3	2	31	27
X^4	2	32	30
X^5	1	23	14

X^0	6	31	12
X^1	2	21	8
X^2	2	22	11
X^3	3	20	8
X^4	2	14	7
X^5	1	11	2

X^0	2	21	13
X^1	4	22	16
X^2	3	19	10
X^3	2	18	11
X^4	0	14	12
X^5	2	18	10

X^0	0	22	15
X^1	0	24	15
X^2	0	24	13
X^3	3	21	16
X^4	0	13	6
X^5	0	14	4

X^0	2	54	26
X^1	2	53	27
X^2	0	51	26
X^3	0	34	27
X^4	1	25	13
X^5	0	5	0

X^0	2	45	34
X^1	1	43	32
X^2	1	40	25
X^3	1	38	32
X^4	1	28	24
X^5	1	38	32

X^0	5	7	5
X^1	5	9	5
X^2	5	5	5
X^3	5	5	5
X^4	5	5	5
X^5	0	3	0

X^0	1	8	4
X^1	1	4	1
X^2	5	5	5
X^3	2	2	2
X^4	0	0	0
X^5	0	2	0

X^0	1	200	101
X^1	1	205	108
X^2	1	202	101
X^3	1	202	100
X^4	1	110	109
X^5	2	117	112

X^0	1	21	14
X^1	3	16	8
X^2	3	3	3
X^3	1	9	7
X^4	0	5	1
X^5	0	15	13

X^0	3	237	122
X^1	5	233	119
X^2	4	223	114
X^3	4	220	107
X^4	2	114	110
X^5	1	115	111

X^0	3	69	51
X^1	2	68	55
X^2	0	62	53
X^3	0	53	45
X^4	0	56	45
X^5	0	0	0

X^0	1	13	6
X^1	1	11	5
X^2	3	10	6
X^3	1	6	2
X^4	1	1	1
X^5	0	4	0

X^0	4	25	12
X^1	2	24	10
X^2	2	21	9
X^3	2	19	5
X^4	3	16	10
X^5	4	19	10

X^0	1	13	5
X^1	1	14	5
X^2	1	7	1
X^3	1	4	1
X^4	1	1	1
X^5	0	4	0

X^0	1	7	1
X^1	1	7	2
X^2	3	9	5
X^3	3	10	6
X^4	3	8	4
X^5	0	6	2

X^0	1	13	8
X^1	1	12	7
X^2	1	8	1
X^3	1	10	3
X^4	1	8	2
X^5	0	9	1

X^0	2	30	27
X^1	2	33	28
X^2	4	32	31
X^3	1	26	25
X^4	1	26	25
X^5	0	9	6

X^0	2	73	34
X^1	2	72	35
X^2	4	74	38
X^3	1	69	34
X^4	1	54	48
X^5	0	39	23

X^0	2	10	2
X^1	1	8	1
X^2	2	4	2
X^3	2	9	2
X^4	1	1	1
X^5	2	9	2

X^0	2	9	4
X^1	1	10	6
X^2	5	16	12
X^3	1	11	5
X^4	0	7	6
X^5	2	5	4

X^0	2	28	11
X^1	4	34	18
X^2	1	18	15
X^3	1	22	13
X^4	1	15	12
X^5	1	15	13

X^0	2	9	6
X^1	2	7	4
X^2	2	4	2
X^3	2	4	2
X^4	0	4	0
X^5	0	2	0

X^0	2	14	5
X^1	5	14	5
X^2	1	18	5
X^3	5	19	8
X^4	1	14	7
X^5	1	14	7

X^0	2	26	11
X^1	2	20	8
X^2	2	11	6
X^3	2	14	8
X^4	2	3	2
X^5	3	13	9

X^0	4	46	27
X^1	4	48	26
X^2	4	46	27
X^3	4	44	25
X^4	4	19	15
X^5	0	29	25

X^0	2	16	11
X^1	1	17	10
X^2	1	14	4
X^3	1	9	5
X^4	1	8	3
X^5	1	8	1

X^0	2	16	11
X^1	2	16	13
X^2	1	18	16
X^3	1	11	6
X^4	0	18	15
X^5	4	21	19

X^0	2	26	25
X^1	3	29	28
X^2	6	32	31
X^3	2	29	28
X^4	1	28	27
X^5	0	27	25

X^0	3	24	10
X^1	3	23	11
X^2	3	17	10
X^3	3	13	8
X^4	0	7	4
X^5	0	0	0

X^0	2	2	2
X^1	2	2	2
X^2	2	2	2
X^3	3	14	11
X^4	1	15	12
X^5	1	5	4

X^0	2	17	15
X^1	2	18	13
X^2	2	20	14
X^3	2	20	14
X^4	0	13	10
X^5	0	16	10

X^0	1	368	196
X^1	0	369	194
X^2	0	367	197
X^3	2	362	200
X^4	1	199	199
X^5	0	208	170

X^0	5	14	5
X^1	6	11	6
X^2	0	6	0
X^3	0	4	0
X^4	0	1	0
X^5	0	7	1

X^0	1	270	135
X^1	1	270	135
X^2	1	270	131
X^3	5	271	132
X^4	0	138	132
X^5	0	140	132

X^0	4	148	75
X^1	3	149	76
X^2	4	147	74
X^3	7	156	80
X^4	0	73	70
X^5	2	81	78

X^0	5	16	7
X^1	2	11	3
X^2	0	10	1
X^3	0	8	0
X^4	0	1	0
X^5	0	8	5

X^0	2	22	17
X^1	2	20	17
X^2	2	17	13
X^3	2	20	2
X^4	0	5	3
X^5	0	18	0

X^0	2	36	34
X^1	2	35	33
X^2	2	21	19
X^3	1	31	27
X^4	1	34	30
X^5	3	35	33

X^0	4	27	15
X^1	4	29	15
X^2	4	30	11
X^3	4	27	12
X^4	1	20	15
X^5	2	20	11

X^0	3	9	5
X^1	3	11	3
X^2	2	10	4
X^3	1	10	5
X^4	2	7	4
X^5	3	10	6

X^0	2	26	15
X^1	6	31	16
