	Opt.	CR	FP
X^0	1	11	2
X^1	1	10	2
X^2	1	8	2
X^3	1	5	1
X^4	0	7	2

X^0	5	36	19
X^1	12	43	26
X^2	1	34	18
X^3	0	20	18
X^4	1	19	13

X^0	3	36	33
X^1	0	32	29
X^2	1	30	27
X^3	2	28	25
X^4	0	31	28

X^0	4	7	4
X^1	3	7	3
X^2	5	8	5
X^3	4	7	4
X^4	1	12	8

X^0	2	2	2
X^1	0	0	0
X^2	0	0	0
X^3	1	1	1
X^4	1	1	1

X^0	1	12	6
X^1	1	14	5
X^2	1	10	4
X^3	2	11	5
X^4	8	17	13

X^0	4	8	4
X^1	0	7	4
X^2	1	7	4
X^3	0	9	5
X^4	0	10	6

X^0	1	18	4
X^1	1	18	9
X^2	1	18	9
X^3	1	10	7
X^4	0	9	3

X^0	1	23	10
X^1	5	27	15
X^2	2	19	12
X^3	1	11	5
X^4	1	7	1

X^0	2	10	9
X^1	0	9	8
X^2	0	6	2
X^3	2	7	5
X^4	0	7	3

X^0	1	41	19
X^1	1	47	20
X^2	0	43	12
X^3	3	37	35
X^4	0	32	28

X^0	2	4	2
X^1	2	3	2
X^2	2	3	2
X^3	1	3	1
X^4	0	0	0

X^0	2	15	6
X^1	2	10	2
X^2	2	12	8
X^3	2	11	6
X^4	2	5	2

X^0	2	4	2
X^1	2	5	2
X^2	0	3	0
X^3	0	2	0
X^4	0	0	0

X^0	2	47	30
X^1	2	32	29
X^2	2	27	15
X^3	2	10	9
X^4	3	20	19

X^0	2	23	8
X^1	2	28	10
X^2	5	33	21
X^3	1	24	18
X^4	0	15	9

X^0	4	25	12
X^1	4	19	10
X^2	4	17	4
X^3	2	15	8
X^4	0	21	6

X^0	1	184	92
X^1	1	184	92
X^2	2	184	93
X^3	2	95	93
X^4	0	91	89

X^0	6	20	7
X^1	6	18	6
X^2	6	19	8
X^3	6	11	6
X^4	2	15	8

X^0	3	109	65
X^1	3	44	41
X^2	3	89	49
X^3	1	38	34
X^4	1	61	57

X^0	1	11	5
X^1	2	7	3
X^2	3	5	3
X^3	0	5	3
X^4	1	5	1

X^0	12	17	12
X^1	2	4	2
X^2	0	1	0
X^3	0	2	0
X^4	0	1	0

X^0	1	303	176
X^1	1	308	182
X^2	1	246	120
X^3	1	126	63
X^4	0	186	116

X^0	3	19	13
X^1	3	10	7
X^2	3	3	3
X^3	3	3	3
X^4	1	3	1

X^0	2	6	2
X^1	1	6	4
X^2	1	5	1
X^3	1	4	2
X^4	1	4	1

X^0	0	8	6
X^1	0	9	6
X^2	1	8	4
X^3	0	6	4
X^4	0	1	0

X^0	2	52	32
X^1	2	54	34
X^2	2	40	24
X^3	1	37	21
X^4	2	19	2

X^0	4	9	4
X^1	4	8	4
X^2	4	14	6
X^3	4	7	4
X^4	4	5	4

X^0	1	11	2
X^1	1	11	5
X^2	3	12	5
X^3	3	11	5
X^4	0	4	0

X^0	1	34	28
X^1	0	31	22
X^2	0	31	18
X^3	0	5	0
X^4	1	31	16

X^0	3	9	3
X^1	2	9	2
X^2	1	9	3
X^3	2	12	2
X^4	2	12	6

X^0	2	17	7
X^1	1	13	7
X^2	0	13	4
X^3	0	10	4
X^4	0	8	2

X^0	2	4	2
X^1	2	6	3
X^2	1	6	2
X^3	2	3	2
X^4	0	4	1

X^0	1	26	20
X^1	1	32	20
X^2	1	32	14
X^3	0	23	17
X^4	0	23	11

X^0	1	4	1
X^1	0	1	0
X^2	0	2	0
X^3	0	1	0
X^4	0	0	0

X^0	1	19	11
X^1	2	23	13
X^2	2	20	13
X^3	2	17	11
X^4	1	13	7

X^0	2	141	93
X^1	3	134	101
X^2	0	130	121
X^3	0	108	108
X^4	0	137	105

X^0	5	10	5
X^1	5	6	5
X^2	5	11	5
X^3	2	10	5
X^4	1	9	4

X^0	1	70	49
X^1	1	64	43
X^2	2	46	24
X^3	0	29	8
X^4	0	44	23

X^0	4	8	4
X^1	2	8	6
X^2	2	5	2
X^3	2	5	2
X^4	0	3	0

X^0	1	11	5
X^1	4	14	8
X^2	1	11	5
X^3	0	10	3
X^4	0	1	0

X^0	3	28	23
X^1	4	25	22
X^2	2	21	19
X^3	2	21	19
X^4	2	10	6

X^0	2	10	6
X^1	2	10	5
X^2	2	9	4
X^3	0	4	0
X^4	2	8	3

X^0	6	41	25
X^1	2	35	14
X^2	1	34	18
X^3	0	16	14
X^4	2	21	19

X^0	3	26	12
X^1	4	24	13
X^2	2	18	9
X^3	2	15	9
X^4	0	9	1

X^0	1	3	1
X^1	1	3	1
X^2	6	8	6
X^3	0	3	0
X^4	1	4	1

X^0	1	28	25
X^1	1	25	22
X^2	2	27	23
X^3	0	25	21
X^4	0	27	23

X^0	1	119	115
X^1	1	113	111
X^2	1	114	113
X^3	1	113	111
X^4	1	1	1

X^0	2	58	26
X^1	2	60	24
X^2	2	48	30
X^3	2	48	25
X^4	1	38	8

X^0	2	34	32
X^1	2	33	27
X^2	2	29	25
X^3	2	18	16
X^4	1	30	28

X^0	4	8	4
X^1	4	12	8
X^2	4	10	5
X^3	0	2	0
X^4	1	7	3

X^0	1	6	1
X^1	1	6	4
X^2	1	5	3
X^3	1	1	1
X^4	1	5	3

X^0	2	173	87
X^1	1	171	83
X^2	1	171	84
X^3	0	92	88
X^4	0	85	79

X^0	1	10	3
X^1	2	12	8
X^2	5	17	12
X^3	3	14	11
X^4	3	11	7

X^0	1	8	2
X^1	2	5	3
X^2	1	5	3
X^3	1	1	1
X^4	1	9	7

X^0	3	66	47
X^1	1	64	43
X^2	1	66	47
X^3	1	38	35
X^4	0	24	21

X^0	2	14	6
X^1	2	15	8
X^2	3	17	10
X^3	6	17	13
X^4	0	9	4

X^0	1	10	2
X^1	1	11	4
X^2	1	9	5
X^3	5	13	9
X^4	1	8	4

X^0	5	54	24
X^1	0	27	16
X^2	3	39	9
X^3	1	34	29
X^4	0	4	1

X^0	2	12	10
X^1	0	12	8
X^2	1	7	6
X^3	0	0	0
X^4	1	7	1

X^0	4	14	4
X^1	3	13	4
X^2	3	10	3
X^3	3	3	3
X^4	0	10	0

X^0	1	14	1
X^1	1	18	7
X^2	1	15	7
X^3	3	14	7
X^4	0	12	3

X^0	0	7	2
X^1	2	6	2
X^2	3	8	3
X^3	1	5	1
X^4	2	4	2

X^0	1	313	162
X^1	4	317	166
X^2	2	328	177
X^3	1	171	165
X^4	1	159	155

X^0	2	27	21
X^1	1	23	21
X^2	2	26	20
X^3	0	22	19
X^4	3	17	15

X^0	1	25	18
X^1	4	24	20
X^2	2	18	12
X^3	3	13	10
X^4	3	3	3

X^0	3	15	8
X^1	2	16	8
X^2	3	15	8
X^3	2	14	10
X^4	3	14	8

X^0	7	10	8
X^1	1	1	1
X^2	1	1	1
X^3	1	2	1
X^4	1	1	1

X^0	2	35	21
X^1	1	39	21
X^2	1	37	21
X^3	1	30	20
X^4	1	22	13

X^0	4	146	74
X^1	4	144	72
X^2	1	139	74
X^3	4	73	69
X^4	5	79	75

X^0	3	42	18
X^1	4	42	16
X^2	6	43	19
X^3	1	21	15
X^4	1	24	19

X^0	2	17	7
X^1	3	12	4
X^2	6	17	8
X^3	4	11	7
X^4	1	8	4

X^0	2	38	19
X^1	4	45	26
X^2	7	32	29
X^3	1	17	13
X^4	1	2	1

X^0	2	9	3
X^1	5	10	5
X^2	1	5	1
X^3	2	5	2
X^4	0	3	0

X^0	2	58	36
X^1	2	58	28
X^2	2	45	27
X^3	2	32	29
X^4	1	30	24

X^0	4	322	164
X^1	3	321	163
X^2	0	317	161
X^3	0	163	159
X^4	0	156	154

X^0	1	20	2
X^1	2	18	2
X^2	0	17	4
X^3	2	17	12
X^4	0	20	9

X^0	6	52	46
X^1	6	41	35
X^2	6	43	32
X^3	6	41	32
X^4	0	27	20

X^0	3	13	3
X^1	3	9	3
X^2	0	10	2
X^3	1	9	2
X^4	1	12	6

X^0	3	3	3
X^1	5	6	5
X^2	1	1	1
X^3	1	1	1
X^4	0	0	0

X^0	3	20	9
X^1	1	18	8
X^2	0	12	6
X^3	2	13	8
X^4	0	0	0

X^0	3	3	3
X^1	3	4	3
X^2	3	3	3
X^3	2	2	2
X^4	2	2	2

X^0	1	15	11
X^1	1	17	11
X^2	0	24	18
X^3	0	15	14
X^4	1	11	2

X^0	2	2	2
X^1	2	5	2
X^2	1	5	2
X^3	1	3	1
X^4	0	4	1

X^0	6	21	12
X^1	7	21	14
X^2	10	21	15
X^3	6	14	9
X^4	1	8	3

X^0	1	18	13
X^1	1	6	1
X^2	0	5	2
X^3	1	13	12
X^4	1	3	1

X^0	1	5	4
X^1	0	0	0
X^2	4	4	4
X^3	1	1	1
X^4	3	4	4

X^0	2	2	2
X^1	2	2	2
X^2	0	3	0
X^3	0	0	0
X^4	0	5	1

X^0	5	7	5
X^1	1	2	1
X^2	1	1	1
X^3	0	0	0
X^4	1	2	1

X^0	6	11	7
X^1	2	5	2
X^2	2	6	2
X^3	3	9	5
X^4	1	6	1

X^0	6	27	27
X^1	0	12	10
X^2	2	23	23
X^3	0	6	2
X^4	0	23	23

X^0	2	18	12
X^1	2	17	12
X^2	2	11	6
X^3	2	2	2
X^4	2	2	2

X^0	2	12	8
X^1	0	10	7
X^2	0	9	6
X^3	0	12	4
X^4	3	9	6

X^0	2	2	2
X^1	2	2	2
X^2	2	2	2
X^3	1	1	1
X^4	2	2	2

X^0	3	105	67
X^1	3	106	71
X^2	3	104	70
X^3	1	71	70
X^4	4	72	38

X^0	2	5	2
X^1	2	3	2
X^2	2	2	2
X^3	0	2	0
X^4	0	2	0

X^0	4	6	4
X^1	1	4	1
X^2	2	5	2
X^3	3	6	3
X^4	1	1	1

X^0	2	4	2
X^1	2	4	2
X^2	1	4	1
X^3	1	4	1
X^4	0	5	0

X^0	2	47	31
X^1	2	28	14
X^2	2	30	18
X^3	0	31	17
X^4	0	10	0

X^0	4	12	8
X^1	4	11	7
X^2	4	13	9
X^3	4	5	4
X^4	1	12	5

X^0	2	6	2
X^1	2	3	2
X^2	0	3	0
X^3	3	6	3
X^4	0	2	0

X^0	5	35	16
X^1	1	34	16
X^2	5	34	14
X^3	1	25	15
X^4	1	21	10

X^0	2	22	14
X^1	3	24	16
X^2	2	21	16
X^3	0	13	8
X^4	0	11	3

X^0	5	26	16
X^1	1	23	12
X^2	1	25	12
X^3	2	16	14
X^4	1	13	10

X^0	4	113	106
X^1	4	112	107
X^2	4	113	108
X^3	2	112	109
X^4	4	101	96

X^0	2	2	2
X^1	2	2	2
X^2	3	4	3
X^3	2	3	2
X^4	2	2	2

X^0	1	32	18
X^1	0	34	15
X^2	3	28	18
X^3	0	9	3
X^4	2	23	15

X^0	3	11	3
X^1	1	13	7
X^2	2	15	7
X^3	0	8	7
X^4	0	8	5

X^0	4	21	12
X^1	3	17	11
X^2	5	21	14
X^3	1	17	11
X^4	0	8	2

X^0	1	20	17
X^1	1	19	16
X^2	0	19	16
X^3	0	20	20
X^4	1	19	16

X^0	0	186	95
X^1	0	183	92
X^2	1	178	91
X^3	1	93	90
X^4	0	87	85

X^0	7	18	8
X^1	5	19	8
X^2	4	14	9
X^3	4	10	5
X^4	1	6	1

X^0	2	4	2
X^1	7	10	7
X^2	4	6	4
X^3	1	1	1
X^4	1	5	2

X^0	3	20	9
X^1	0	19	11
X^2	3	18	12
X^3	3	8	3
X^4	1	12	8

X^0	3	4	3
X^1	3	5	3
X^2	3	3	3
X^3	3	10	5
X^4	3	3	3

X^0	0	9	3
X^1	0	7	1
X^2	2	2	2
X^3	2	7	2
X^4	0	0	0

X^0	2	2	2
X^1	2	2	2
X^2	2	2	2
X^3	2	2	2
X^4	0	0	0

X^0	2	31	18
X^1	4	31	18
X^2	3	23	7
X^3	2	24	18
X^4	0	17	9

X^0	2	9	5
X^1	3	10	4
X^2	4	10	6
