	Opt.	Zea.	Flo.
X^0	196	166	169
X^1	196	173	175
X^2	198	178	181
X^3	196	180	183
X^4	196	180	183
X^5	198	189	191
X^6	198	198	198

X^0	196	87	88
X^1	197	100	102
X^2	196	149	150
X^3	200	159	160
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	196	193	196
X^1	196	191	194
X^2	196	192	195
X^3	196	195	196
X^4	196	195	196
X^5	198	196	198
X^6	198	198	198

X^0	198	193	195
X^1	198	192	194
X^2	198	196	198
X^3	198	197	198
X^4	199	199	199
X^5	199	199	199
X^6	198	198	198

X^0	198	188	189
X^1	198	195	198
X^2	198	193	194
X^3	198	195	197
X^4	198	198	198
X^5	198	198	198
X^6	200	200	200

X^0	197	194	196
X^1	198	195	198
X^2	198	196	198
X^3	198	198	198
X^4	197	197	197
X^5	199	197	198
X^6	200	200	200

X^0	195	-90	0
X^1	198	-35	0
X^2	198	16	17
X^3	198	65	65
X^4	199	108	111
X^5	198	148	148
X^6	200	200	200

X^0	198	134	140
X^1	198	169	172
X^2	194	166	170
X^3	197	167	172
X^4	197	197	197
X^5	198	198	198
X^6	200	200	200

X^0	192	140	143
X^1	198	156	157
X^2	198	175	179
X^3	198	185	186
X^4	198	198	198
X^5	199	199	199
X^6	198	198	198

X^0	195	126	132
X^1	195	157	162
X^2	195	162	167
X^3	195	169	174
X^4	195	195	195
X^5	195	195	195
X^6	195	195	195

X^0	199	-65	0
X^1	196	-6	0
X^2	196	50	50
X^3	196	111	113
X^4	196	139	142
X^5	200	145	146
X^6	200	200	200

X^0	195	95	101
X^1	197	129	135
X^2	197	160	162
X^3	197	193	195
X^4	196	194	196
X^5	196	164	166
X^6	198	198	198

X^0	194	161	161
X^1	196	173	177
X^2	199	188	189
X^3	195	189	191
X^4	199	199	199
X^5	198	198	198
X^6	200	200	200

X^0	197	180	182
X^1	198	182	182
X^2	198	194	197
X^3	196	192	194
X^4	198	198	198
X^5	200	200	200
X^6	200	200	200

X^0	196	171	177
X^1	196	168	174
X^2	196	175	178
X^3	196	186	188
X^4	198	188	190
X^5	196	196	196
X^6	198	198	198

X^0	198	178	180
X^1	198	180	182
