	Opt.	Zea.	Flo.
X^2	198	192	194
X^3	198	192	196
X^4	198	198	198
X^5	198	198	198
X^6	199	199	199

X^0	197	191	193
X^1	197	193	196
X^2	197	194	196
X^3	197	197	197
X^4	197	197	197
X^5	196	196	196
X^6	200	200	200

X^0	197	131	135
X^1	196	128	131
X^2	197	165	166
X^3	197	167	170
X^4	199	199	199
X^5	199	199	199
X^6	198	198	198

X^0	196	141	146
X^1	196	156	160
X^2	196	170	174
X^3	196	177	181
X^4	196	170	174
X^5	196	183	187
X^6	196	196	196

X^0	199	-67	0
X^1	199	-73	10
X^2	199	0	10
X^3	197	68	71
X^4	199	84	86
X^5	200	157	159
X^6	198	198	198

X^0	199	173	177
X^1	198	177	178
X^2	199	184	186
X^3	199	199	199
X^4	199	198	199
X^5	199	199	199
X^6	200	200	200

X^0	198	187	191
X^1	198	187	194
X^2	198	198	198
X^3	198	198	198
X^4	198	198	198
X^5	193	193	193
X^6	200	200	200

X^0	196	126	131
X^1	196	145	149
X^2	196	165	171
X^3	196	159	164
X^4	196	196	196
X^5	196	196	196
X^6	199	199	199

X^0	197	189	191
X^1	198	189	191
X^2	198	194	197
X^3	198	197	198
X^4	195	195	195
X^5	199	199	199
X^6	197	197	197

X^0	197	144	147
X^1	197	140	150
X^2	197	168	171
X^3	197	168	171
X^4	197	197	197
X^5	197	197	197
X^6	200	200	200

X^0	197	188	193
X^1	198	197	198
X^2	195	191	193
X^3	198	197	198
X^4	198	197	198
X^5	198	197	198
X^6	200	200	200

X^0	198	156	159
X^1	198	157	163
X^2	198	173	177
X^3	196	196	196
X^4	198	198	198
X^5	198	198	198
X^6	194	194	194

X^0	198	191	194
X^1	198	194	195
X^2	198	196	197
X^3	198	198	198
X^4	198	198	198
X^5	198	196	196
X^6	200	200	200

X^0	198	-48	0
X^1	197	-39	0
X^2	197	78	83
X^3	196	83	87
X^4	196	196	196
X^5	197	197	197
X^6	197	197	197

X^0	199	-28	0
X^1	198	-18	0
X^2	199	87	90
X^3	199	97	100
X^4	199	199	199
X^5	199	199	199
X^6	197	197	197

X^0	196	180	184
X^1	196	188	193
X^2	196	191	195
X^3	196	194	196
X^4	196	195	196
X^5	195	194	195
X^6	196	196	196

X^0	193	147	150
X^1	194	150	151
X^2	199	177	180
X^3	199	177	178
X^4	200	200	200
X^5	199	199	199
X^6	197	197	197

X^0	197	183	185
X^1	200	184	186
X^2	195	190	193
X^3	198	194	196
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	199	189	191
X^1	199	189	191
X^2	199	192	194
X^3	198	195	196
X^4	199	199	199
X^5	199	199	199
X^6	198	198	198

X^0	197	190	191
X^1	195	191	191
X^2	200	198	199
X^3	200	199	199
X^4	200	199	200
X^5	200	200	200
X^6	199	199	199

X^0	197	181	184
X^1	197	186	189
X^2	197	192	195
X^3	197	197	197
X^4	197	197	197
X^5	200	200	200
X^6	200	200	200

X^0	199	167	168
X^1	197	179	181
X^2	197	182	185
X^3	198	188	189
X^4	200	200	200
X^5	199	199	199
X^6	199	199	199

X^0	199	186	193
X^1	196	189	194
X^2	197	197	197
X^3	197	197	197
X^4	199	199	199
X^5	200	200	200
X^6	197	197	197

X^0	196	100	104
X^1	196	148	154
X^2	195	145	149
X^3	196	149	155
X^4	196	196	196
X^5	196	196	196
X^6	197	197	197

X^0	198	168	170
X^1	198	178	179
X^2	198	196	198
X^3	198	198	198
X^4	199	199	199
X^5	199	199	199
X^6	199	199	199

X^0	198	176	177
X^1	195	181	182
X^2	196	188	192
X^3	195	186	187
X^4	199	199	199
X^5	199	199	199
X^6	199	199	199

X^0	197	59	63
X^1	197	57	61
X^2	197	131	134
X^3	197	131	134
X^4	197	197	197
X^5	197	197	197
X^6	198	198	198

X^0	198	114	118
X^1	198	118	123
X^2	198	157	159
X^3	198	158	163
X^4	198	198	198
X^5	198	198	198
X^6	194	194	194

X^0	198	172	175
X^1	198	185	187
X^2	198	197	198
X^3	198	197	198
X^4	198	198	198
X^5	198	198	198
X^6	200	200	200

X^0	199	152	156
X^1	198	162	167
X^2	199	172	176
X^3	199	181	184
X^4	199	187	193
X^5	199	193	195
X^6	198	198	198

X^0	195	106	112
X^1	195	109	116
X^2	195	195	195
X^3	195	171	176
X^4	197	197	197
X^5	195	195	195
X^6	200	200	200

X^0	197	143	150
X^1	199	147	152
X^2	195	165	169
X^3	199	177	181
X^4	199	199	199
X^5	197	197	197
X^6	199	199	199

X^0	197	153	155
X^1	197	160	161
X^2	197	180	184
X^3	197	191	191
X^4	199	199	199
X^5	200	200	200
X^6	200	200	200

X^0	198	48	49
X^1	198	49	50
X^2	198	50	51
X^3	199	94	95
X^4	199	130	132
X^5	199	153	154
X^6	199	199	199

X^0	194	161	163
X^1	196	167	168
X^2	199	184	185
X^3	195	190	192
X^4	199	199	199
X^5	199	199	199
X^6	198	198	198

X^0	198	-61	0
X^1	198	56	57
X^2	197	65	65
X^3	199	196	199
X^4	199	199	199
X^5	200	200	200
X^6	199	199	199

X^0	196	181	187
X^1	196	187	189
X^2	196	192	194
X^3	198	197	198
X^4	196	196	196
X^5	198	198	198
X^6	196	196	196

X^0	198	168	171
X^1	195	170	173
X^2	195	183	185
X^3	195	195	195
X^4	198	198	198
X^5	200	200	200
X^6	196	196	196

X^0	196	162	165
X^1	196	168	169
X^2	196	187	189
X^3	196	188	191
X^4	198	198	198
X^5	199	199	199
X^6	199	199	199

X^0	197	-39	0
X^1	196	-30	0
X^2	195	79	81
X^3	198	88	91
X^4	198	198	198
X^5	198	198	198
X^6	200	200	200

X^0	193	182	189
X^1	193	188	191
X^2	193	190	192
X^3	197	197	197
X^4	198	198	198
X^5	200	200	200
X^6	197	197	197

X^0	199	198	199
X^1	199	199	199
X^2	199	198	199
X^3	199	199	199
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	197	186	189
X^1	197	197	197
X^2	197	197	197
X^3	197	194	197
X^4	197	196	197
X^5	197	197	197
X^6	199	199	199

X^0	199	175	176
X^1	200	182	183
X^2	200	188	192
X^3	200	194	195
X^4	200	200	200
X^5	200	200	200
X^6	200	200	200

X^0	198	170	177
X^1	198	179	181
X^2	198	187	187
X^3	198	184	184
X^4	196	180	180
X^5	199	188	188
X^6	200	200	200

X^0	198	113	115
X^1	198	141	143
X^2	198	149	151
X^3	198	184	186
X^4	198	198	198
X^5	198	198	198
X^6	199	199	199

X^0	198	187	189
X^1	195	189	192
X^2	198	198	198
X^3	198	194	197
X^4	199	199	199
X^5	200	200	200
X^6	200	200	200

X^0	196	140	142
X^1	198	168	171
X^2	198	169	173
X^3	194	172	176
X^4	197	197	197
X^5	198	198	198
X^6	200	200	200

X^0	198	180	183
X^1	198	178	179
X^2	198	197	198
X^3	198	194	197
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	196	121	125
X^1	190	120	124
X^2	198	163	170
X^3	196	163	170
X^4	198	197	198
X^5	196	196	196
X^6	200	200	200

X^0	197	184	187
X^1	197	183	188
X^2	197	185	190
X^3	197	186	191
X^4	197	196	197
X^5	197	197	197
X^6	200	200	200

X^0	198	185	188
X^1	198	189	192
X^2	198	193	195
X^3	197	196	197
X^4	198	198	198
X^5	200	200	200
X^6	200	200	200

X^0	199	194	197
X^1	199	194	196
X^2	199	199	199
X^3	199	199	199
X^4	198	198	198
X^5	200	200	200
X^6	198	198	198

X^0	198	182	185
X^1	197	180	185
X^2	198	186	191
X^3	198	185	190
X^4	198	196	198
X^5	198	198	198
X^6	200	200	200

X^0	197	156	160
X^1	199	158	162
X^2	194	173	174
X^3	197	178	178
X^4	199	199	199
X^5	200	200	200
X^6	199	199	199

X^0	195	147	149
X^1	195	169	171
X^2	198	171	173
X^3	198	168	170
X^4	198	197	198
X^5	198	198	198
X^6	200	200	200

X^0	198	158	160
X^1	195	163	167
X^2	197	189	191
X^3	199	199	199
X^4	198	198	198
X^5	198	198	198
X^6	196	196	196

X^0	199	180	182
X^1	199	185	186
X^2	199	193	195
X^3	195	193	194
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	198	187	189
X^1	197	190	191
X^2	199	196	199
X^3	195	195	195
X^4	200	200	200
X^5	198	198	198
X^6	200	200	200

X^0	197	150	155
X^1	195	161	163
X^2	194	172	177
X^3	196	184	185
X^4	195	195	195
X^5	200	200	200
X^6	199	199	199

X^0	199	144	148
X^1	199	142	143
X^2	196	164	171
X^3	197	192	196
X^4	199	199	199
X^5	200	200	200
X^6	200	200	200

X^0	199	87	89
X^1	199	89	91
X^2	199	147	148
X^3	197	147	148
X^4	198	196	197
X^5	199	199	199
X^6	199	199	199

X^0	197	145	148
X^1	196	154	160
X^2	197	172	177
X^3	197	184	187
X^4	196	196	196
X^5	199	199	199
X^6	195	195	195

X^0	198	78	80
X^1	195	128	129
X^2	198	141	142
X^3	199	155	158
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	197	-99	0
X^1	195	39	42
X^2	197	88	89
X^3	197	197	197
X^4	198	198	198
X^5	199	199	199
X^6	198	198	198

X^0	197	140	147
X^1	199	156	162
X^2	199	173	174
X^3	199	167	168
X^4	197	172	173
X^5	196	195	196
X^6	199	199	199

X^0	197	91	94
X^1	198	121	121
X^2	199	127	130
X^3	198	154	154
X^4	197	176	176
X^5	197	176	177
X^6	200	200	200

X^0	198	189	190
X^1	200	193	193
X^2	200	195	195
X^3	200	196	196
X^4	200	198	200
X^5	200	199	199
X^6	200	200	200

X^0	197	178	181
X^1	197	187	190
X^2	197	190	193
X^3	197	190	194
X^4	197	197	197
X^5	197	197	197
X^6	200	200	200

X^0	199	193	198
X^1	200	197	198
X^2	198	197	198
X^3	196	196	196
X^4	198	198	198
X^5	194	193	193
X^6	200	200	200

X^0	196	154	158
X^1	196	160	164
X^2	196	173	179
X^3	196	182	186
X^4	196	196	196
X^5	196	196	196
X^6	199	199	199

X^0	196	178	181
X^1	199	186	189
X^2	200	193	197
X^3	196	195	196
X^4	197	197	197
X^5	196	196	196
X^6	200	200	200

X^0	198	141	145
X^1	198	145	147
X^2	198	187	191
X^3	198	187	189
X^4	198	198	198
X^5	198	198	198
X^6	198	198	198

X^0	194	189	192
X^1	196	194	196
X^2	198	196	198
X^3	197	197	197
X^4	198	198	198
X^5	200	200	200
X^6	200	200	200

X^0	198	186	189
X^1	198	188	193
X^2	196	190	193
X^3	198	198	198
X^4	198	198	198
X^5	197	197	197
X^6	200	200	200

X^0	198	170	173
X^1	198	192	194
X^2	198	198	198
X^3	198	198	198
X^4	198	198	198
X^5	197	197	197
X^6	200	200	200

X^0	197	72	72
X^1	199	117	118
X^2	200	133	142
X^3	199	199	199
X^4	194	194	194
X^5	200	200	200
X^6	199	199	199

X^0	197	-182	0
X^1	195	-174	0
X^2	196	9	13
X^3	192	10	10
X^4	196	196	196
X^5	200	200	200
X^6	195	195	195

X^0	198	167	171
X^1	198	172	176
X^2	197	195	197
X^3	197	197	197
X^4	198	198	198
X^5	199	199	199
X^6	199	199	199

X^0	196	185	189
X^1	196	190	193
X^2	199	195	199
X^3	194	193	194
X^4	196	196	196
X^5	199	199	199
X^6	200	200	200

X^0	199	141	143
X^1	199	153	154
X^2	199	181	182
X^3	199	199	199
X^4	199	199	199
X^5	199	199	199
X^6	199	199	199

X^0	197	192	197
X^1	195	194	195
X^2	197	194	197
X^3	198	198	198
X^4	199	199	199
X^5	195	195	195
X^6	197	197	197

X^0	195	169	169
X^1	199	179	180
X^2	200	188	188
X^3	200	194	194
X^4	200	200	200
X^5	200	200	200
X^6	200	200	200

X^0	199	147	149
X^1	193	155	156
X^2	200	190	191
X^3	199	199	199
X^4	198	198	198
X^5	199	199	199
X^6	197	197	197

X^0	198	81	85
X^1	198	137	138
X^2	196	131	134
X^3	198	137	138
X^4	197	197	197
X^5	200	200	200
X^6	200	200	200

X^0	197	197	197
X^1	197	197	197
X^2	199	199	199
X^3	200	198	198
X^4	200	200	200
X^5	200	200	200
X^6	196	196	196

X^0	198	184	187
X^1	198	185	189
X^2	198	196	198
X^3	198	197	198
X^4	198	198	198
X^5	198	198	198
X^6	198	198	198

X^0	197	159	167
X^1	197	166	170
X^2	196	168	172
X^3	197	172	176
X^4	197	182	189
X^5	197	190	194
X^6	197	197	197

X^0	198	100	101
X^1	198	109	115
X^2	198	165	170
X^3	198	171	173
X^4	199	199	199
X^5	199	199	199
X^6	194	194	194

X^0	197	178	188
X^1	197	180	180
X^2	197	187	187
X^3	197	195	196
X^4	197	191	191
X^5	198	192	193
X^6	200	200	200

X^0	198	179	183
X^1	198	185	186
X^2	200	185	186
X^3	198	190	190
X^4	200	200	200
X^5	200	200	200
X^6	200	200	200

X^0	197	111	115
X^1	197	138	143
X^2	197	139	144
X^3	197	144	148
X^4	197	197	197
X^5	199	199	199
X^6	199	199	199

X^0	194	164	167
X^1	195	170	170
X^2	197	172	172
X^3	194	169	169
X^4	199	180	180
X^5	197	186	186
X^6	200	200	200

X^0	198	83	86
X^1	198	80	82
X^2	199	121	122
X^3	196	138	139
X^4	199	180	182
X^5	199	199	199
X^6	200	200	200

X^0	200	-74	0
X^1	200	51	53
X^2	196	66	70
X^3	197	76	78
X^4	198	198	198
X^5	199	199	199
X^6	200	200	200

X^0	194	136	143
X^1	196	168	179
X^2	198	172	181
X^3	198	198	198
X^4	198	198	198
X^5	198	198	198
X^6	200	200	200

X^0	198	166	167
X^1	199	168	169
X^2	199	167	168
X^3	199	175	175
X^4	199	184	188
X^5	199	191	191
X^6	200	200	200

X^0	195	43	45
X^1	197	103	106
X^2	196	108	111
X^3	198	131	134
X^4	198	198	198
X^5	198	198	198
X^6	200	200	200

X^0	197	40	43
X^1	198	50	53
X^2	198	54	57
X^3	199	91	95
X^4	199	133	134
X^5	199	157	158
X^6	199	199	199

X^0	198	167	168
X^1	195	169	170
X^2	199	171	172
X^3	197	177	177
X^4	199	187	189
X^5	199	193	193
X^6	200	200	200

X^0	197	185	186
X^1	199	187	188
X^2	200	193	195
X^3	198	198	198
X^4	199	199	199
X^5	200	200	200
X^6	194	194	194

X^0	198	69	71
X^1	198	88	88
X^2	198	136	139
X^3	198	153	154
X^4	196	196	196
X^5	200	200	200
X^6	200	200	200

X^0	197	195	197
X^1	199	198	199
X^2	200	199	200
X^3	198	198	198
X^4	199	199	199
X^5	198	198	198
X^6	197	197	197

X^0	199	178	179
X^1	199	176	177
X^2	199	186	187
X^3	199	189	191
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	198	194	196
X^1	198	195	198
X^2	198	198	198
X^3	198	197	198
X^4	197	197	197
X^5	198	198	198
X^6	197	197	197

X^0	199	186	188
X^1	194	184	187
X^2	199	192	197
X^3	198	193	195
X^4	196	194	196
X^5	198	198	198
X^6	200	200	200

X^0	199	158	158
X^1	197	165	165
X^2	198	164	164
X^3	198	174	174
X^4	198	182	183
X^5	200	190	190
X^6	200	200	200

X^0	197	186	195
X^1	197	194	197
X^2	197	197	197
X^3	197	197	197
X^4	198	198	198
X^5	198	198	198
X^6	198	198	198

X^0	199	-16	0
X^1	194	17	25
X^2	194	58	64
X^3	194	92	102
X^4	194	129	135
X^5	194	158	166
X^6	194	194	194

X^0	194	194	194
X^1	198	198	198
X^2	198	198	198
X^3	195	195	195
X^4	199	199	199
X^5	199	199	199
X^6	198	198	198

X^0	198	88	89
X^1	199	122	124
X^2	193	149	151
X^3	199	191	192
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	199	41	42
X^1	199	57	58
X^2	199	122	124
X^3	199	138	142
X^4	199	199	199
X^5	199	199	199
X^6	199	199	199

X^0	197	188	190
X^1	198	192	196
X^2	198	197	198
X^3	198	198	198
X^4	198	198	198
X^5	197	197	197
X^6	200	200	200

X^0	196	138	139
X^1	197	142	143
X^2	197	171	172
X^3	199	174	175
X^4	199	199	199
X^5	199	199	199
X^6	198	198	198

X^0	199	185	188
X^1	198	191	193
X^2	199	196	197
X^3	198	196	198
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	198	53	60
X^1	198	45	49
X^2	197	93	99
X^3	198	147	153
X^4	198	198	198
X^5	196	196	196
X^6	200	200	200

X^0	198	181	183
X^1	196	186	187
X^2	199	194	195
X^3	199	199	199
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	198	185	186
X^1	199	180	182
X^2	199	185	187
X^3	199	188	190
X^4	196	189	196
X^5	199	195	196
X^6	199	199	199

X^0	197	163	167
X^1	198	164	167
X^2	196	183	185
X^3	198	185	187
X^4	198	198	198
X^5	198	198	198
X^6	197	197	197

X^0	197	120	123
X^1	197	144	146
X^2	200	167	170
X^3	199	188	191
X^4	199	199	199
X^5	200	200	200
X^6	200	200	200

X^0	197	194	197
X^1	197	196	197
X^2	197	196	197
X^3	197	197	197
X^4	196	195	196
X^5	198	198	198
X^6	200	200	200

X^0	199	186	188
X^1	197	185	187
X^2	197	189	191
X^3	195	189	189
X^4	199	197	197
X^5	199	199	199
X^6	200	200	200

X^0	196	-135	0
X^1	196	-120	0
X^2	198	37	39
X^3	198	49	51
X^4	198	198	198
X^5	198	198	198
X^6	199	199	199

X^0	198	184	186
X^1	199	189	190
X^2	199	193	196
X^3	199	195	196
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	198	190	190
X^1	198	192	192
X^2	199	199	199
X^3	199	199	199
X^4	199	199	199
X^5	200	200	200
X^6	198	198	198

X^0	198	165	169
X^1	195	171	178
X^2	198	181	182
X^3	199	199	199
X^4	199	199	199
X^5	199	199	199
X^6	198	198	198

X^0	199	128	132
X^1	199	156	157
X^2	199	157	160
X^3	199	158	163
X^4	196	196	196
X^5	199	199	199
X^6	199	199	199

X^0	197	47	53
X^1	196	54	60
X^2	197	163	169
X^3	197	166	172
X^4	191	185	191
X^5	194	194	194
X^6	198	198	198

X^0	198	173	174
X^1	200	177	178
X^2	199	186	186
X^3	200	191	191
X^4	200	196	197
X^5	200	200	200
X^6	200	200	200

X^0	197	106	110
X^1	197	129	132
X^2	197	185	189
X^3	197	186	188
X^4	197	197	197
X^5	198	198	198
X^6	197	197	197

X^0	195	183	185
X^1	199	190	192
X^2	199	197	199
X^3	199	199	199
X^4	199	199	199
X^5	198	198	198
X^6	200	200	200

X^0	193	191	192
X^1	196	195	196
X^2	197	197	197
X^3	197	197	197
X^4	198	198	198
X^5	200	200	200
X^6	200	200	200

X^0	197	172	176
X^1	195	177	180
X^2	197	177	180
X^3	197	178	181
X^4	197	196	197
X^5	197	197	197
X^6	199	199	199

X^0	199	153	154
X^1	199	148	149
X^2	199	162	166
X^3	199	183	187
X^4	199	199	199
X^5	197	197	197
X^6	200	200	200

X^0	199	101	104
X^1	196	95	98
X^2	199	150	151
X^3	196	151	152
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	198	186	189
X^1	198	193	194
X^2	197	197	197
X^3	199	199	199
X^4	196	196	196
X^5	199	199	199
X^6	199	199	199

X^0	195	188	195
X^1	195	186	195
X^2	195	192	195
X^3	195	195	195
X^4	195	195	195
X^5	196	196	196
X^6	200	200	200

X^0	198	187	189
X^1	199	194	195
X^2	199	198	199
X^3	198	197	198
X^4	199	199	199
X^5	199	199	199
X^6	199	199	199

X^0	197	190	192
X^1	198	187	190
X^2	197	195	196
X^3	198	194	196
X^4	199	199	199
X^5	199	199	199
X^6	199	199	199

X^0	198	188	192
X^1	198	190	194
X^2	196	187	192
X^3	198	193	195
X^4	198	195	198
X^5	198	198	198
X^6	197	197	197

X^0	198	162	168
X^1	198	174	179
X^2	198	183	185
X^3	198	180	180
X^4	198	198	198
X^5	200	200	200
X^6	198	198	198

X^0	198	173	177
X^1	198	179	180
X^2	198	195	197
X^3	198	198	198
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	198	112	119
X^1	198	121	123
X^2	198	155	158
X^3	198	164	166
X^4	198	198	198
X^5	198	198	198
X^6	200	200	200

X^0	198	164	172
X^1	198	173	176
X^2	198	179	186
X^3	198	189	196
X^4	197	197	197
X^5	193	193	193
X^6	199	199	199

X^0	196	192	193
X^1	198	198	198
X^2	198	196	197
X^3	198	192	194
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	195	182	187
X^1	195	187	192
X^2	195	188	194
X^3	195	192	195
X^4	195	194	195
X^5	195	195	195
X^6	199	199	199

X^0	199	168	171
X^1	199	174	177
X^2	199	185	188
X^3	198	195	198
X^4	198	198	198
X^5	199	199	199
X^6	200	200	200

X^0	197	192	194
X^1	193	190	191
X^2	194	192	193
X^3	198	196	197
X^4	197	195	197
X^5	199	198	199
X^6	199	199	199

X^0	198	130	136
X^1	198	133	140
X^2	198	162	168
X^3	197	165	171
X^4	198	198	198
X^5	194	194	194
X^6	200	200	200

X^0	197	125	127
X^1	198	121	125
X^2	198	145	147
X^3	198	162	163
X^4	198	173	174
X^5	198	173	174
X^6	199	199	199

X^0	199	196	197
X^1	199	196	197
X^2	199	197	199
X^3	199	198	199
X^4	199	198	199
X^5	200	198	200
X^6	200	200	200

X^0	198	192	194
X^1	198	193	196
X^2	198	196	196
X^3	197	195	195
X^4	200	200	200
X^5	200	200	200
X^6	200	200	200

X^0	196	191	196
X^1	196	191	194
X^2	196	196	196
X^3	192	192	192
X^4	196	195	196
X^5	198	198	198
X^6	197	197	197

X^0	190	162	164
X^1	199	184	187
X^2	199	188	190
X^3	200	200	200
X^4	198	198	198
X^5	200	200	200
X^6	199	199	199

X^0	198	162	163
X^1	198	169	170
X^2	198	183	186
X^3	198	185	188
X^4	198	198	198
X^5	200	200	200
X^6	198	198	198

X^0	197	164	167
X^1	197	181	184
X^2	197	180	184
X^3	197	180	184
X^4	197	197	197
X^5	197	197	197
X^6	199	199	199

X^0	198	148	151
X^1	198	154	159
X^2	198	159	159
X^3	199	164	164
X^4	199	180	184
X^5	193	184	184
X^6	200	200	200

X^0	198	136	138
X^1	198	139	141
X^2	195	167	169
X^3	198	171	175
X^4	198	198	198
X^5	198	198	198
X^6	200	200	200

X^0	194	183	190
X^1	196	184	188
X^2	197	193	197
X^3	196	195	196
X^4	196	196	196
X^5	196	196	196
X^6	197	197	197

X^0	197	121	122
X^1	198	124	125
X^2	198	160	161
X^3	198	161	163
X^4	194	192	194
X^5	200	200	200
X^6	200	200	200

X^0	198	130	133
X^1	198	160	162
X^2	196	166	168
X^3	198	189	192
X^4	198	198	198
X^5	198	198	198
X^6	200	200	200

X^0	197	190	192
X^1	198	196	198
X^2	198	197	198
X^3	198	198	198
X^4	198	198	198
X^5	199	199	199
X^6	200	200	200

X^0	197	165	167
X^1	197	171	173
X^2	198	189	191
X^3	198	189	191
X^4	198	198	198
X^5	198	198	198
X^6	197	197	197

X^0	199	-161	0
X^1	199	-4	0
X^2	198	14	15
X^3	198	11	12
X^4	199	199	199
X^5	199	199	199
X^6	200	200	200

X^0	197	173	176
X^1	197	174	177
X^2	199	187	188
X^3	198	192	193
X^4	199	199	199
X^5	198	198	198
X^6	200	200	200

X^0	197	170	175
X^1	196	173	180
X^2	196	183	187
X^3	198	188	194
X^4	198	198	198
X^5	196	196	196
X^6	200	200	200

X^0	198	168	170
X^1	198	179	181
X^2	198	174	176
X^3	198	186	186
X^4	198	198	198
X^5	200	200	200
X^6	197	197	197

X^0	198	181	181
X^1	199	188	189
X^2	198	197	198
X^3	199	199	199
X^4	200	200	200
X^5	200	200	200
X^6	199	199	199

X^0	194	123	127
X^1	197	161	165
X^2	195	162	165
X^3	196	166	172
X^4	198	198	198
X^5	197	197	197
X^6	195	195	195

X^0	199	187	195
X^1	198	189	194
X^2	199	199	199
X^3	197	197	197
X^4	200	200	200
X^5	200	200	200
X^6	199	199	199

X^0	196	165	171
X^1	198	183	185
X^2	200	186	191
X^3	200	200	200
X^4	200	200	200
X^5	200	200	200
X^6	200	200	200

X^0	199	-35	0
X^1	198	9	10
X^2	198	47	49
X^3	198	90	93
X^4	198	125	127
X^5	198	169	171
X^6	199	199	199

X^0	198	193	195
X^1	198	196	198
X^2	198	197	198
X^3	198	197	198
X^4	198	198	198
X^5	193	193	193
X^6	200	200	200

X^0	197	115	117
X^1	196	120	128
X^2	198	140	149
X^3	198	158	167
X^4	197	173	175
X^5	198	192	194
X^6	198	198	198

X^0	195	138	143
X^1	195	134	139
X^2	195	162	167
X^3	195	165	171
X^4	195	195	195
X^5	195	195	195
X^6	200	200	200

X^0	198	190	195
X^1	197	195	197
X^2	197	197	197
X^3	197	196	197
X^4	198	198	198
X^5	198	197	198
X^6	198	198	198

X^0	193	30	35
X^1	191	32	37
X^2	194	113	118
X^3	196	118	123
X^4	197	197	197
X^5	195	195	195
X^6	200	200	200

X^0	197	193	194
X^1	196	190	192
X^2	198	196	198
X^3	198	198	198
X^4	199	197	199
X^5	199	199	199
X^6	199	199	199

X^0	196	71	76
X^1	197	123	127
X^2	198	127	129
X^3	198	153	155
X^4	198	198	198
X^5	198	198	198
X^6	200	200	200

X^0	199	-5	0
X^1	196	64	66
X^2	196	98	101
X^3	197	132	135
X^4	198	198	198
X^5	198	198	198
X^6	200	200	200

X^0	196	148	153
X^1	196	154	158
X^2	191	180	187
X^3	196	196	196
X^4	196	196	196
X^5	200	200	200
X^6	200	200	200

X^0	190	136	144
X^1	197	154	158
X^2	197	168	173
X^3	197	167	171
