	Opt.	CR	FP
X^0	2	16	6
X^1	1	17	7
X^2	1	17	10
X^3	8	24	16
X^4	1	12	9
X^5	2	15	8
X^6	0	1	0

X^0	3	28	13
X^1	2	18	9
X^2	2	17	2
X^3	2	18	11
X^4	2	9	2
X^5	2	7	2
X^6	3	8	3

X^0	5	22	7
X^1	7	20	7
X^2	3	20	5
X^3	8	24	9
X^4	3	14	3
X^5	2	17	3
X^6	0	18	3

X^0	3	11	5
X^1	3	7	3
X^2	3	3	3
X^3	4	6	4
X^4	1	7	3
X^5	1	2	1
X^6	0	0	0

X^0	2	41	21
X^1	2	41	20
X^2	2	38	19
X^3	2	34	18
X^4	2	38	21
X^5	0	21	14
X^6	0	20	10

X^0	2	144	75
X^1	2	144	74
X^2	2	143	73
X^3	2	137	68
X^4	2	125	60
X^5	1	127	121
X^6	3	82	67

X^0	2	24	10
X^1	2	24	13
X^2	2	21	13
X^3	2	18	8
X^4	1	16	3
X^5	0	11	2
X^6	0	14	6

X^0	2	1077	705
X^1	1	1074	703
X^2	1	1068	703
X^3	1	889	524
X^4	1	563	344
X^5	1	371	343
X^6	0	224	188

X^0	2	7	2
X^1	4	9	4
X^2	2	5	2
X^3	2	4	2
X^4	2	2	2
X^5	5	6	5
X^6	2	6	2

X^0	2	11	6
X^1	2	9	5
X^2	2	6	2
X^3	4	8	4
X^4	1	5	1
X^5	1	1	1
X^6	5	12	6

X^0	4	27	17
X^1	4	20	10
X^2	4	22	11
X^3	4	18	7
X^4	2	20	10
X^5	2	4	2
X^6	0	19	7

X^0	3	28	14
X^1	3	35	15
X^2	3	25	13
X^3	4	26	14
X^4	3	19	12
X^5	0	21	11
X^6	0	23	10

X^0	5	44	23
X^1	11	50	30
X^2	1	40	24
X^3	6	42	12
X^4	1	22	1
X^5	4	4	4
X^6	0	39	17

X^0	6	256	128
X^1	1	258	125
X^2	4	255	131
X^3	0	244	125
X^4	0	239	121
X^5	3	124	118
X^6	3	135	123

X^0	4	30	17
X^1	4	30	18
X^2	5	25	20
X^3	4	23	18
X^4	1	14	4
X^5	2	7	2
X^6	1	3	1

X^0	3	65	55
X^1	3	64	52
X^2	3	60	46
X^3	3	61	48
X^4	1	58	53
X^5	0	53	49
X^6	0	57	47

X^0	3	52	36
X^1	3	47	34
X^2	3	47	26
X^3	3	14	11
X^4	2	3	2
X^5	2	2	2
X^6	3	45	41

X^0	3	274	133
X^1	1	274	135
X^2	2	270	137
X^3	3	264	132
X^4	1	250	125
X^5	1	137	128
X^6	1	3	1

X^0	4	97	49
X^1	4	97	49
X^2	4	96	46
X^3	4	94	44
X^4	4	81	47
X^5	0	47	37
X^6	0	53	43

X^0	2	42	17
X^1	1	45	20
X^2	1	41	17
X^3	3	41	19
X^4	1	33	17
X^5	0	27	14
X^6	0	22	2

X^0	1	38	26
