	Opt.	CR	FP
X^0	2	26	8
X^1	4	27	10
X^2	2	23	6
X^3	2	23	5
X^4	2	22	6
X^5	2	17	6
X^6	3	17	5
X^7	4	16	6
X^8	1	18	6

X^0	3	108	48
X^1	3	114	53
X^2	3	113	54
X^3	3	108	49
X^4	3	108	47
X^5	3	100	50
X^6	3	91	51
X^7	3	49	41
X^8	2	62	40

X^0	6	122	57
X^1	3	118	55
X^2	3	113	57
X^3	3	105	52
X^4	3	90	46
X^5	3	76	43
X^6	1	75	30
X^7	1	48	44
X^8	2	80	45

X^0	7	55	20
X^1	5	52	18
X^2	4	49	20
X^3	4	43	22
X^4	3	32	18
X^5	2	31	19
X^6	5	34	20
X^7	2	28	16
X^8	0	32	11

X^0	3	53	26
X^1	2	53	28
X^2	6	55	32
X^3	1	51	29
X^4	1	49	25
X^5	1	38	26
X^6	1	32	25
X^7	1	32	25
X^8	0	31	12

X^0	2	126	58
X^1	1	123	57
X^2	2	119	54
X^3	2	115	54
X^4	3	115	56
X^5	1	114	56
X^6	2	97	56
X^7	2	59	46
X^8	0	1	0

X^0	2	62	41
X^1	3	64	41
X^2	5	61	40
X^3	2	56	40
X^4	5	56	43
X^5	1	47	29
X^6	3	43	28
X^7	0	41	41
X^8	0	41	24

X^0	2	21	6
X^1	4	23	8
X^2	1	16	6
X^3	1	13	4
X^4	1	15	5
X^5	1	11	3
X^6	0	16	5
X^7	0	3	0
X^8	0	16	5

X^0	4	77	38
X^1	3	78	37
X^2	3	77	36
X^3	3	74	34
X^4	3	68	34
X^5	3	57	31
X^6	2	46	28
X^7	0	24	9
X^8	0	10	0

X^0	2	166	81
X^1	2	164	77
X^2	2	159	81
X^3	1	152	78
X^4	1	164	88
X^5	1	146	80
X^6	0	98	57
X^7	2	91	58
X^8	2	107	53

X^0	3	82	42
X^1	2	87	46
X^2	2	88	43
X^3	2	90	48
X^4	4	99	60
X^5	2	72	33
X^6	2	80	33
X^7	2	37	15
X^8	1	66	43

X^0	3	90	50
X^1	3	89	50
X^2	3	89	51
X^3	3	87	48
X^4	3	90	44
X^5	3	80	44
X^6	0	90	43
X^7	1	45	43
X^8	0	54	50

X^0	3	172	100
X^1	3	172	101
X^2	2	135	68
X^3	2	110	43
X^4	2	102	39
X^5	1	86	40
X^6	2	91	46
X^7	1	45	5
X^8	1	113	66

X^0	2	191	93
X^1	5	192	94
X^2	2	182	90
X^3	2	177	84
X^4	2	162	80
X^5	2	160	70
X^6	2	99	81
X^7	2	97	81
X^8	1	15	1

X^0	1	31	11
X^1	2	27	9
X^2	2	26	9
X^3	2	22	6
X^4	2	22	3
X^5	2	18	2
X^6	2	17	2
X^7	2	17	2
X^8	0	15	0

X^0	2	122	57
X^1	3	126	60
X^2	2	124	61
X^3	4	123	70
X^4	2	111	63
X^5	3	73	63
X^6	2	67	18
X^7	2	60	54
X^8	0	79	57

X^0	3	99	49
X^1	5	103	51
X^2	4	102	46
X^3	1	97	43
X^4	2	96	47
X^5	1	93	52
X^6	4	92	59
X^7	0	48	46
X^8	3	64	45

X^0	3	132	69
X^1	3	131	68
X^2	5	129	72
X^3	3	124	66
X^4	2	129	69
X^5	2	104	58
X^6	2	60	55
X^7	2	83	61
X^8	2	2	2

X^0	5	40	22
X^1	5	38	17
X^2	5	39	17
X^3	5	38	21
X^4	3	33	23
X^5	3	32	26
X^6	3	25	17
X^7	3	30	26
X^8	1	30	17

X^0	2	260	173
X^1	3	261	174
X^2	3	263	174
X^3	1	259	169
X^4	1	259	169
X^5	2	247	166
X^6	0	248	169
X^7	0	156	153
X^8	0	174	91

X^0	2	45	14
X^1	2	47	21
X^2	3	39	19
X^3	1	34	13
X^4	5	33	12
X^5	4	33	14
X^6	3	30	13
X^7	1	26	12
X^8	3	24	7

X^0	5	27	15
X^1	7	29	18
X^2	3	25	14
X^3	5	30	17
X^4	3	24	12
X^5	3	20	5
X^6	1	23	10
X^7	0	13	7
X^8	1	19	9

X^0	1	37	16
X^1	4	39	16
X^2	6	41	19
X^3	2	37	16
X^4	5	39	19
X^5	1	28	13
X^6	3	28	14
X^7	0	17	8
X^8	1	24	8

X^0	4	55	19
X^1	8	63	25
X^2	4	54	19
X^3	4	47	11
X^4	4	47	21
X^5	1	41	18
X^6	1	37	21
X^7	1	40	23
X^8	0	43	11

X^0	3	39	25
X^1	2	46	24
